id,cem011_prgrm,cem301_attendees_total,month,year,cem009_country
,1AF,17,5,2013,1
,1AF,16,5,2013,1
,1AF,23,7,2013,1
,1AF,19,6,2013,1
,1AF,24,6,2013,1
,1AF,15,6,2013,1
,1AF,21,6,2013,1
,1AF,20,6,2013,1
,1AF,28,6,2013,1
,1AF,19,12,2011,1
,1AF,22,11,2011,1
,1AF,17,5,2013,1
,1AF,19,5,2013,1
,1AF,21,11,2011,1
,1AF,24,5,2013,1
,1AF,20,5,2013,1
,1AF,19,5,2013,1
,1AF,19,12,2011,1
,1AF,22,5,2013,1
,1AF,14,5,2013,1
,1AF,24,5,2013,1
,1AF,22,11,2011,1
,1AF,23,5,2013,1
,1AF,29,5,2013,1
,1AF,20,5,2013,1
,1AF,22,5,2013,1
,1AF,17,5,2013,1
,1AF,20,5,2013,1
,1AF,233,5,2013,1
,1AF,43,5,2013,1
,1AF,39,5,2013,1
,1AF,19,5,2013,1
,1AF,20,6,2013,1
,1AF,16,6,2013,1
,1AF,23,5,2013,1
,1AF,25,6,2013,1
,1AF,21,5,2013,1
,1AF,20,5,2013,1
,1AF,19,5,2013,1
,1AF,29,5,2013,1
,1AF,17,5,2013,1
,1AF,21,5,2013,1
,1AF,34,5,2013,1
,1AF,22,5,2013,1
,1AF,11,5,2013,1
,1AF,18,5,2013,1
,1AF,33,5,2013,1
,1AF,29,5,2013,1
,1AF,19,5,2013,1
,1AF,17,5,2013,1
,1AF,20,5,2013,1
,1AF,30,5,2013,1
,1AF,20,5,2013,1
,1AF,36,5,2013,1
,1AF,21,5,2013,1
,1AF,28,5,2013,1
,1AF,16,5,2013,1
,1AF,17,5,2013,1
,1AF,25,5,2013,1
,1AF,20,5,2013,1
,1AF,19,5,2013,1
,1AF,23,5,2013,1
,1AF,37,5,2013,1
,1AF,20,5,2013,1
,1AF,34,5,2013,1
,1AF,25,5,2013,1
,1AF,19,5,2013,1
,1AF,24,2,2012,1
,1AF,28,5,2013,1
,1AF,16,5,2013,1
,1AF,17,11,2011,1
,1AF,22,5,2013,1
,1AF,23,5,2013,1
,1AF,30,11,2011,1
,1AF,19,11,2011,1
,1AF,19,11,2011,1
,1AF,24,12,2011,1
,1AF,20,2,2012,1
,1AF,24,5,2013,1
,1AF,19,5,2013,1
,1AF,21,5,2013,1
,1AF,20,6,2013,1
,1AF,18,6,2013,1
,1AF,19,6,2013,1
,1AF,28,11,2011,1
,1AF,20,6,2013,1
