ID,cem301_attendees_total,cem011_prgrm,month,year
,98,MFW,1,2014
,71,MFW,1,2014
,39,MFW,1,2014
,51,MFW,1,2014
,45,MFW,1,2014
,37,MFW,1,2014
,38,MFW,1,2014
,98,MFW,1,2014
,29,MFW,1,2014
,30,MFW,1,2014
,31,MFW,1,2014
,22,MFW,1,2014
,59,MFW,1,2014
,50,MFW,1,2014
,84,MFW,1,2014
,44,MFW,1,2014
,24,MFW,1,2014
,57,MFW,1,2014
,50,MFW,1,2014
,65,MFW,1,2014
,104,MFW,1,2014
,50,MFW,1,2014
,44,MFW,1,2014
,45,MFW,1,2014
,70,MFW,1,2014
,62,MFW,1,2014
,95,MFW,1,2014
,21,MFW,1,2014
,85,MFW,1,2014
,102,MFW,1,2014
,35,MFW,1,2014
,76,MFW,1,2014
,81,MFW,1,2014
,67,MFW,1,2014
,60,MFW,1,2014
,55,MFW,1,2014
,24,MFW,1,2014
,41,MFW,1,2014
,55,MFW,1,2014
,41,MFW,1,2014
,40,MFW,1,2014
,31,MFW,1,2014
,30,MFW,1,2014
,44,MFW,1,2014
,76,MFW,1,2014
,113,MFW,1,2014
,65,MFW,1,2014
,48,MFW,1,2014
,72,MFW,1,2014
,25,MFW,1,2014
,28,MFW,1,2014
,43,MFW,1,2014
,94,MFW,1,2014
,54,MFW,1,2014
,114,MFW,1,2014
,60,MFW,1,2014
,50,MFW,1,2014
,39,MFW,1,2014
,29,MFW,1,2014
,68,MFW,1,2014
,45,MFW,1,2014
,58,MFW,1,2014
,48,MFW,1,2014
,41,MFW,1,2014
,40,MFW,1,2014
,85,MFW,1,2014
,92,MFW,1,2014
,52,MFW,1,2014
,23,MFW,1,2014
,44,MFW,1,2014
,30,MFW,1,2014
,61,MFW,1,2014
,23,SRK,1,2012
,52,MFW,1,2014
,30,MFW,1,2014
,98,MFW,1,2014
,45,MFW,1,2014
,31,MFW,1,2014
,45,MFW,1,2014
,62,MFW,1,2014
,30,MFW,1,2014
,72,MFW,1,2014
,62,MFW,1,2014
,20,MFW,1,2014
,56,MFW,1,2014
,33,MFW,1,2014
,38,MFW,1,2014
,31,MFW,1,2014
,115,MFW,1,2014
,65,MFW,1,2014
,54,MFW,1,2014
,107,MFW,1,2014
,62,MFW,1,2014
,32,MFW,1,2014
,44,MFW,1,2014
,43,MFW,1,2014
,36,MFW,1,2014
,29,MFW,1,2014
,64,MFW,1,2014
,88,MFW,1,2014
,48,MFW,1,2014
,34,MFW,1,2014
,66,MFW,1,2014
,64,MFW,1,2014
,103,MFW,1,2014
,21,MFW,1,2014
,56,MFW,1,2014
,49,MFW,1,2014
,49,MFW,1,2014
,80,MFW,1,2014
,38,MFW,1,2014
,49,MFW,1,2014
,42,MFW,1,2014
,42,MFW,1,2014
,78,MFW,1,2014
,57,MFW,1,2014
,67,MFW,1,2014
,79,MFW,1,2014
,31,MFW,1,2014
,37,MFW,1,2014
,70,MFW,1,2014
,41,MFW,1,2014
,42,MFW,1,2014
,58,MFW,1,2014
,162,MFW,1,2014
,120,MFW,1,2014
,38,MFW,1,2014
,30,MFW,1,2014
,80,MFW,1,2014
,62,MFW,1,2014
,60,MFW,1,2014
,80,MFW,1,2014
,44,MFW,1,2014
,101,MFW,1,2014
,220,MFW,1,2014
,54,MFW,1,2014
,61,MFW,1,2014
,53,MFW,1,2014
