id,cem301_attendees_total,cem011_prgrm,month,year,cem009_country
,23,1AF,6,2013,1
,31,1AF,5,2013,1
,15,1AF,6,2013,1
,21,1AF,6,2013,1
,30,1AF,6,2013,1
,21,1AF,6,2013,1
,22,1AF,6,2013,1
,22,1AF,6,2013,1
,20,1AF,7,2013,1
,20,1AF,7,2013,1
,23,1AF,6,2013,1
,22,1AF,6,2013,1
,30,1AF,6,2013,1
,37,1AF,11,2011,1
,22,1AF,11,2011,1
,29,1AF,11,2011,1
,20,1AF,5,2013,1
,27,1AF,5,2013,1
,39,1AF,12,2011,1
,21,KKM2,11,2011,1
,17,KKM2,11,2011,1
,25,1AF,11,2011,1
,23,1AF,11,2011,1
,19,1AF,12,2011,1
,31,1AF,7,2013,1
,25,1AF,6,2013,1
,30,1AF,6,2013,1
,29,1AF,6,2013,1
,33,1AF,6,2013,1
,34,1AF,7,2013,1
,23,1AF,7,2013,1
,34,1AF,7,2013,1
,28,1AF,7,2013,1
,21,1AF,7,2013,1
,25,1AF,5,2013,1
,15,1AF,5,2013,1
,25,1AF,7,2013,1
,41,1AF,11,2011,1
,24,1AF,6,2013,1
,15,1AF,7,2013,1
,21,1AF,6,2013,1
,26,1AF,7,2013,1
,15,1AF,7,2013,1
,29,1AF,7,2013,1
,27,1AF,11,2011,1
,25,1AF,6,2013,1
,23,1AF,6,2013,1
,21,1AF,6,2013,1
,20,1AF,11,2011,1
,21,1AF,11,2011,1
,27,1AF,6,2013,1
,23,1AF,6,2013,1
,40,1AF,6,2013,1
,20,1AF,6,2013,1
,32,1AF,6,2013,1
,22,1AF,6,2013,1
,49,1AF,12,2011,1
,32,1AF,11,2011,1
,23,1AF,11,2011,1
,22,1AF,6,2013,1
,15,1AF,5,2013,1
,16,1AF,5,2013,1
,28,1AF,5,2013,1
,19,1AF,5,2013,1
,16,1AF,11,2011,1
,21,1AF,5,2013,1
,21,1AF,5,2013,1
,27,1AF,5,2013,1
,15,1AF,5,2013,1
,31,1AF,5,2013,1
,19,1AF,5,2013,1
,18,1AF,5,2013,1
,21,1AF,5,2013,1
,39,1AF,5,2013,1
,18,1AF,5,2013,1
,40,1AF,11,2011,1
,31,1AF,7,2013,1
,24,1AF,6,2013,1
,21,1AF,5,2013,1
,22,1AF,5,2013,1
,28,1AF,7,2013,1
,25,1AF,7,2013,1
