id,cr011_prgrm,cr102_wpt_id,total_chl_used,total_period_day,total_period_30day,avrg_30day_usage,avrg_30day_usage_litres,num_of_Deliveries,Jerrican_delivered,date_of_first_delivery,date_of_last_delivery,country
,Rongo,10310472,,,,,,3,8,2014/11/12,2015/06/06,1
,Rongo,10310473,,,,,,1,0,2015/02/28,2015/02/28,1
,Rongo,10310474,5,59,1.966667,2.542373,12.71186,5,12,2014/07/17,2015/06/06,1
,Rongo,10310476,,,,,,1,0,2015/02/28,2015/02/28,1
,Rongo,10310477,3,90,3,1,5,4,10,2014/11/12,2015/08/07,1
,Rongo,10310478,,,,,,3,4,2014/06/24,2015/06/26,1
,Rongo,10310479,3,87,2.9,1.034483,5.172414,3,8,2014/06/24,2015/02/12,1
,Rongo,10310480,,,,,,3,4,2014/06/24,2015/06/23,1
,Rongo,10310481,3,139,4.633333,0.647482,3.23741,4,12,2014/06/25,2015/02/12,1
,Rongo,10310482,3,126,4.2,0.7142857,3.571429,4,10,2014/07/11,2015/07/06,1
,Rongo,10310483,,,,,,2,4,2014/07/11,2015/02/12,1
,Rongo,10310486,3,76,2.533333,1.184211,5.921053,3,8,2014/06/24,2015/02/12,1
,Rongo,10310487,,,,,,1,0,2015/02/12,2015/02/12,1
,Rongo,10310489,,,,,,2,4,2014/06/18,2015/02/12,1
,Rongo,10310490,3,152,5.066667,0.5921053,2.960526,3,8,2014/06/25,2015/02/12,1
,Rongo,10310492,,,,,,1,4,2014/06/18,2014/06/18,1
,Rongo,10310493,,,,,,3,6,2014/06/18,2015/06/29,1
,Rongo,10310494,,,,,,2,4,2014/07/14,2015/02/12,1
,Rongo,10310496,,,,,,1,4,2014/11/28,2014/11/28,1
,Rongo,10310497,,,,,,1,4,2014/11/28,2014/11/28,1
,Rongo,10310498,4,141,4.7,0.8510638,4.255319,2,8,2014/07/10,2014/11/28,1
,Rongo,10310499,4,141,4.7,0.8510638,4.255319,2,8,2014/07/10,2014/11/28,1
,Rongo,10310502,,,,,,1,4,2014/07/10,2014/07/10,1
,Rongo,10310503,,,,,,1,4,2014/07/10,2014/07/10,1
,Rongo,10310504,6,142,4.733333,1.267606,6.338028,3,12,2014/07/09,2014/11/28,1
,Rongo,10310505,20,407,13.56667,1.474201,7.371007,6,24,2014/07/09,2015/08/20,1
,Rongo,10310506,,,,,,1,4,2014/07/10,2014/07/10,1
,Rongo,10310507,8,399,13.3,0.6015037,3.007519,3,12,2014/07/14,2015/08/17,1
,Rongo,10310510,6,234,7.8,0.7692307,3.846154,3,10,2014/07/14,2015/03/05,1
,Rongo,10310511,5,215,7.166667,0.6976745,3.488372,3,9,2014/07/10,2015/02/10,1
,Rongo,10310512,11,270,9,1.222222,6.111111,4,16,2014/07/11,2015/04/07,1
,Rongo,10310513,13,347,11.56667,1.123919,5.619597,5,18,2014/07/11,2015/06/23,1
,Rongo,10310514,6,141,4.7,1.276596,6.382979,3,9,2015/02/02,2015/06/23,1
,Rongo,10310515,10,342,11.4,0.877193,4.385965,4,14,2014/07/15,2015/06/22,1
,Rongo,10310516,5,140,4.666667,1.071429,5.357143,3,8,2015/02/02,2015/06/22,1
,Rongo,10310517,3,76,2.533333,1.184211,5.921053,2,6,2015/04/07,2015/06/22,1
,Rongo,10310518,2,76,2.533333,0.7894737,3.947369,2,4,2015/04/07,2015/06/22,1
,Rongo,10310520,,,,,,1,4,2015/03/09,2015/03/09,1
,Rongo,10310521,3,112,3.733333,0.8035714,4.017857,2,8,2014/07/10,2014/10/30,1
,Rongo,10310522,7,205,6.833333,1.02439,5.121951,3,12,2014/07/09,2015/01/30,1
,Rongo,10310523,,,,,,1,4,2015/01/26,2015/01/26,1
,Rongo,10310524,7,328,10.93333,0.6402439,3.20122,3,12,2014/07/09,2015/06/02,1
