id,cem301_attendees_total,cem011_prgrm,month,year,cem009_country
,34,Kibuku 3,3,2015,
,38,Kibuku 4,5,2013,
,21,Kibuku 4,8,2013,
,33,Kibuku 4,8,2013,
,43,Kibuku 4,7,2013,
,31,Kibuku ,3,2015,
,52,Kibuku ,3,2015,
,24,Kibuku 4,8,2013,
,52,Kibuku 3,3,2015,
,48,Kibuku 4,8,2013,
,15,Kibuku 4,8,2013,
,34,Kibuku 4,8,2013,
,48,Kibuku 3,3,2015,
,57,Kibuku 4,8,2013,
,55,Kibuku 3,3,2015,
,35,Kibuku 4,8,2013,
,30,Kibuku 4,8,2013,
,56,Kibuku 4,8,2013,
,30,Kibuku 4,8,2013,
,89,Kibuku 4,8,2013,
,35,Kibuku 4,8,2013,
,60,Kibuku 3,3,2015,
,51,Kibuku 4,8,2013,
,25,Kibuku 4,8,2013,
,72,Kibuku ,3,2015,
,50,Kibuku 4,8,2013,
,25,Kibuku 3,3,2015,
,82,Kibuku 3,3,2015,
,45,Kibuku 4,8,2013,
,38,Kibuku 4,8,2013,
,25,Kibuku 4,8,2013,
,30,Kibuku 4,8,2013,
,41,Kibuku ,3,2015,
,51,Kibuku 4,8,2013,
,31,Kibuku 4,8,2013,
,40,Kibuku ,3,2015,
,46,Kibuku 4,8,2013,
,30,Kibuku 4,8,2013,
,39,Kibuku 4,8,2013,
,30,Kibuku 4,8,2013,
,40,Kibuku 4,8,2013,
,40,Kibuku 4,8,2013,
,45,Kibuku 3,3,2015,
,33,Kibuku ,3,2015,
,39,Kibuku ,3,2015,
,41,Kibuku ,3,2015,
,26,Kibuku ,3,2015,
,51,Kibuku 4,8,2013,
,50,Kibuku 4,7,2013,
,41,Kibuku 4,8,2013,
,30,Kibuku 4,7,2013,
,45,Kibuku 4,7,2013,
,56,Kibuku ,3,2015,
,37,Kibuku ,3,2015,
,35,Kibuku 4,7,2013,
,25,Kibuku 4,7,2013,
,50,Kibuku 4,7,2013,
,33,Kibuku 4,7,2013,
,58,Kibuku 4,7,2013,
,49,Kibuku 4,7,2013,
,69,Kibuku 4,7,2013,
,21,Kibuku 4,7,2013,
,29,Kibuku 4,7,2013,
,33,Kibuku 4,7,2013,
,34,Kibuku 4,7,2013,
,14,Kibuku 4,7,2013,
,31,Kibuku 4,7,2013,
,35,Kibuku 4,7,2013,
,26,Kibuku 4,7,2013,
,22,Kibuku 4,1,2012,
,47,Kibuku ,3,2015,
,52,Kibuku 4,7,2013,
,42,Kibuku 3,3,2015,
,33,Kibuku 4,1,2012,
,31,Kibuku 4,7,2013,
,28,Kibuku 4,8,2013,
,48,Kibuku 4,8,2013,
,38,Kibuku 4,8,2013,
,25,Kibuku 4,8,2013,
,27,Kibuku 3,3,2015,
,20,Kibuku 4,8,2013,
,20,Kibuku 4,8,2013,
,25,Kibuku 4,8,2013,
,19,Kibuku 3,3,2015,
,71,Kibuku ,3,2015,
,45,Kibuku 4,8,2013,
,61,Kibuku 3,3,2015,
,17,Kibuku 3,3,2015,
,14,Kibuku ,3,2015,
,24,Kibuku 4,8,2013,
,41,Kibuku 4,8,2013,
,23,Kibuku 4,8,2013,
,44,Kibuku 3,3,2015,
,38,Kibuku ,3,2015,
,33,Kibuku 3,3,2015,
,24,Kibuku 4,8,2013,
,37,Kibuku 3,3,2015,
,39,Kibuku 4,8,2013,
,46,Kibuku 4,8,2013,
,43,Kibuku 3,3,2015,
,41,Kibuku 4,8,2013,
,52,Kibuku 4,8,2013,
,28,Kibuku 4,8,2013,
,43,Kibuku 4,8,2013,
,20,Kibuku 4,8,2013,
,32,Kibuku 4,8,2013,
,58,Kibuku 4,8,2013,
,34,Kibuku 4,8,2013,
,42,Kibuku 4,8,2013,
,53,Kibuku 4,8,2013,
,48,Kibuku 4,8,2013,
,24,Kibuku 4,8,2013,
,22,Kibuku 4,8,2013,
,34,Kibuku 4,8,2013,
,51,Kibuku 4,8,2013,
,72,Kibuku 4,8,2013,
,48,Kibuku 4,8,2013,
,52,Kibuku 4,8,2013,
,59,Kibuku 3,3,2015,
,52,Kibuku 4,8,2013,
,58,Kibuku 3,3,2015,
,36,Kibuku 4,8,2013,
,20,Kibuku 3,3,2015,
,53,Kibuku 3,3,2015,
,23,Kibuku 4,8,2013,
,37,Kibuku 4,8,2013,
,16,Kibuku 4,8,2013,
,41,Kibuku 4,8,2013,
,50,Kibuku 3,3,2015,
,37,Kibuku 4,8,2013,
,28,Kibuku 4,8,2013,
,30,Kibuku 4,8,2013,
,39,Kibuku 3,3,2015,
,34,Kibuku 3,3,2015,
,32,Kibuku 4,8,2013,
,27,Kibuku 4,8,2013,
,36,Kibuku 3,3,2015,
,21,Kibuku 4,8,2013,
,54,Kibuku ,3,2015,
,28,Kibuku 3,4,2013,
,38,Kibuku 3,4,2013,
,27,Kibuku 3,5,2013,
,63,Kibuku 3,5,2013,
,20,Kibuku 3,5,2013,
,35,Kibuku 3,4,2013,
,46,Kibuku 3,4,2013,
,19,Kibuku 3,4,2013,
,26,Kibuku 3,4,2013,
,35,Kibuku 3,5,2013,
,34,Kibuku 3,5,2013,
,45,Kibuku 3,5,2013,
,60,Kibuku ,3,2015,
,68,Kibuku ,3,2015,
,26,Kibuku 3,3,2015,
,73,Kibuku ,3,2015,
,55,Kibuku 3,3,2015,
,67,Kibuku 3,3,2015,
,61,Kibuku 3,3,2015,
,45,Kibuku 3,3,2015,
,39,Kibuku ,3,2015,
,36,Kibuku 3,5,2013,
,66,Kibuku 3,3,2015,
,70,Kibuku 3,3,2015,
,13,Kibuku 3,3,2015,
,31,Kibuku 3,3,2015,
,29,Kibuku 3,3,2015,
,50,Kibuku 3,5,2013,
,85,Kibuku ,3,2015,
,31,Kibuku ,3,2015,
,16,Kibuku 3,5,2013,
,27,Kibuku ,3,2015,
,32,Kibuku ,3,2015,
,44,Kibuku 4,7,2013,
,23,Kibuku 3,3,2015,
,34,Kibuku 4,8,2013,
