id,s102_wpt_id,s206_cl_dispensed,s208_dispprob,s209_dispprob_cas_padlk,s210_dispprob_tnk_vlv,s211_dispprob_stker_tag_paint,s212_nut,month_survey,year_survey,s009_country,s011_prgrm
,10050025,1,1,1,0,0,0,2,2015,1,KKM2
,10050026,1,0,,,,,10,2015,1,KKM2
,10050026,1,0,,,,,2,2015,1,KKM2
,10050027,1,0,,,,,2,2015,1,KKM2
,10050027,1,0,,,,,10,2015,1,KKM2
,10050028,1,0,,,,,2,2015,1,KKM2
,10050028,1,0,,,,,10,2015,1,KKM2
,10050030,1,0,,,,,3,2015,1,BSA
,10050030,1,0,,,,,2,2014,1,BSA
,10050031,1,0,,,,,2,2016,1,BSA
,10050031,1,0,,,,,5,2014,1,BSA
,10050031,1,0,,,,,3,2015,1,BSA
,10050031,1,1,1,0,0,0,6,2015,1,BSA
,10050032,1,0,,,,,6,2015,1,BSA
,10050032,1,0,,,,,3,2015,1,BSA
,10050033,1,0,,,,,2,2015,1,KKM
,10050034,1,0,,,,,1,2016,1,BSA
,10050034,1,0,,,,,2,2015,1,BSA
,10050035,1,0,,,,,1,2015,1,BSA
,10050035,1,1,0,0,1,0,6,2015,1,BSA
,10050035,1,0,,,,,8,2015,1,BSA
,10050035,1,0,,,,,1,2014,1,BSA
,10050035,1,0,,,,,1,2016,1,BSA
,10050035,1,0,,,,,10,2015,1,BSA
,10050036,1,0,,,,,1,2015,1,BSA
,10050036,1,0,,,,,8,2015,1,BSA
,10050036,1,0,,,,,7,2015,1,BSA
,10050036,1,0,,,,,10,2015,1,BSA
,10050036,1,0,,,,,6,2015,1,BSA
,10050037,1,0,,,,,10,2015,1,BSA
,10050037,1,0,,,,,6,2015,1,BSA
,10050037,1,0,,,,,1,2016,1,BSA
,10050038,1,0,,,,,7,2015,1,BSA
,10050038,1,0,,,,,1,2015,1,BSA
,10050038,1,0,,,,,7,2015,1,BSA
,10050039,1,0,,,,,10,2013,1,BSA
,10050039,1,0,,,,,10,2015,1,BSA
,10050039,1,0,,,,,6,2015,1,BSA
,10050039,1,0,,,,,8,2015,1,BSA
,10050039,1,0,,,,,1,2015,1,BSA
,10050040,1,0,,,,,8,2015,1,BSA
,10050040,1,0,,,,,7,2015,1,BSA
,10050040,1,1,1,1,1,0,1,2015,1,BSA
,10050040,1,0,,,,,10,2015,1,BSA
,10050041,1,0,,,,,3,2015,1,BSA
,10050041,1,0,,,,,8,2015,1,BSA
,10050041,1,0,,,,,6,2015,1,BSA
,10050042,1,0,,,,,6,2015,1,BSA
,10050042,1,0,,,,,8,2015,1,BSA
,10050042,1,0,,,,,6,2015,1,BSA
,10050042,1,0,,,,,3,2015,1,BSA
,10050042,1,0,,,,,1,2016,1,BSA
,10050042,,0,,,,,7,2014,1,BSA
,10050043,1,0,,,,,4,2016,1,BSA
,10050043,1,0,,,,,3,2015,1,BSA
,10050043,1,0,,,,,8,2015,1,BSA
,10050043,1,0,,,,,6,2015,1,BSA
,10050044,1,0,,,,,6,2015,1,BSA
,10050044,1,0,,,,,4,2016,1,BSA
