ID,cem301_attendees_total,cem011_prgrm,month,year,cem009_country,cem005_today
,40,Zomba 3,4,2015,3,04-Apr-15
,60,Zomba 3,11,2014,3,21-Nov-14
,80,Zomba 3,11,2014,3,29-Nov-14
,96,Zomba 3,11,2014,3,22-Nov-14
,55,Zomba 3,11,2014,3,22-Nov-14
,23,Zomba 3,12,2014,3,05-Dec-14
,27,Zomba 3,12,2014,3,05-Dec-14
,40,Zomba 3,12,2014,3,02-Dec-14
,65,Zomba 3,12,2014,3,03-Dec-14
,60,Zomba 3,11,2014,3,21-Nov-14
,82,Zomba 3,11,2014,3,30-Nov-14
,40,Zomba 4,12,2014,3,01-Dec-14
,25,Zomba 3,12,2014,3,06-Dec-14
,40,Zomba 3,11,2014,3,15-Nov-14
,38,Zomba 3,11,2014,3,30-Nov-14
,43,Zomba 3,12,2014,3,12-Dec-14
,39,Zomba 3,12,2014,3,05-Dec-14
,58,Zomba 4,12,2014,3,02-Dec-14
,20,Zomba 4,12,2014,3,04-Dec-14
,21,Zomba 3,11,2014,3,30-Nov-14
,40,Zomba 3,12,2014,3,04-Dec-14
,48,Zomba 3,12,2014,3,04-Dec-14
,38,Zomba 4,3,2015,3,22-Mar-15
,47,Zomba 4,3,2015,3,25-Mar-15
,64,Zomba 3,12,2014,3,04-Dec-14
,65,Zomba 3,12,2014,3,01-Dec-14
,60,Zomba 3,1,2015,3,16-Jan-15
,25,Zomba 3,11,2014,3,15-Nov-14
,38,Zomba 3,12,2014,3,02-Dec-14
,53,Zomba 3,12,2014,3,18-Dec-14
,44,Zomba 3,12,2014,3,18-Dec-14
,82,Zomba 3,12,2014,3,18-Dec-14
,58,Zomba 3,12,2014,3,18-Dec-14
,42,Zomba 3,12,2014,3,18-Dec-14
,51,Zomba 3,1,2013,3,01-Jan-13
,39,Zomba 3,1,2013,3,01-Jan-13
,45,Zomba 4,12,2014,3,03-Dec-14
,45,Zomba 3,11,2014,3,30-Nov-14
,50,Zomba 3,12,2014,3,04-Dec-14
,68,Zomba 3,12,2014,3,04-Dec-14
,48,Zomba 3,12,2014,3,01-Dec-14
,67,Zomba 3,12,2014,3,06-Dec-14
,116,Zomba 3,11,2014,3,30-Nov-14
,75,Zomba 3,1,2015,3,16-Jan-15
,40,Zomba 3,12,2014,3,04-Dec-14
,62,Zomba 3,12,2014,3,04-Dec-14
,38,Zomba 3,12,2014,3,04-Dec-14
,108,Zomba 3,11,2014,3,29-Nov-14
,58,Zomba 3,12,2014,3,03-Dec-14
,58,Zomba 3,12,2014,3,04-Dec-14
,22,Zomba 3,11,2014,3,28-Nov-14
,10,Zomba 3,11,2014,3,29-Nov-14
,55,Zomba 3,11,2014,3,29-Nov-14
,10,Zomba 3,11,2014,3,29-Nov-14
,18,Zomba 3,11,2014,3,29-Nov-14
,49,Zomba 3,11,2014,3,29-Nov-14
,120,Zomba 3,11,2014,3,28-Nov-14
,49,Zomba 3,4,2015,3,08-Apr-15
,45,Zomba 3,12,2014,3,21-Dec-14
,48,Zomba 4,11,2014,3,30-Nov-14
,60,Zomba 3,12,2014,3,21-Dec-14
,103,Zomba 3,12,2014,3,22-Dec-14
,34,Zomba 3,12,2014,3,03-Dec-14
,28,Zomba 3,12,2014,3,03-Dec-14
,41,Zomba 3,11,2014,3,30-Nov-14
,45,Zomba 3,12,2014,3,02-Dec-14
,125,Zomba 3,12,2014,3,04-Dec-14
,55,Zomba 3,12,2014,3,06-Dec-14
,85,Zomba 3,1,2015,3,16-Jan-15
,34,Zomba 3,12,2014,3,05-Dec-14
,37,Zomba 3,1,2015,3,16-Jan-15
,104,Zomba 3,1,2015,3,16-Jan-15
,46,Zomba 3,12,2014,3,02-Dec-14
,30,Zomba 3,12,2014,3,06-Dec-14
,45,Zomba 3,12,2014,3,09-Dec-14
,30,Zomba 3,12,2014,3,01-Dec-14
,48,Zomba 3,12,2014,3,01-Dec-14
,49,Zomba 3,12,2014,3,06-Dec-14
,38,Zomba 3,12,2014,3,06-Dec-14
,36,Zomba 3,4,2015,3,03-Apr-15
,23,Zomba 3,12,2014,3,04-Dec-14
,30,Zomba 3,12,2014,3,21-Dec-14
,59,Zomba 3,12,2014,3,02-Dec-14
,50,Zomba 3,12,2014,3,04-Dec-14
,20,Zomba 4,3,2015,3,10-Mar-15
,41,Zomba 4,12,2014,3,17-Dec-14
,368,Zomba 4,1,2013,3,01-Jan-13
,25,Zomba 4,12,2014,3,16-Dec-14
,17,Zomba 4,12,2014,3,18-Dec-14
,25,Zomba 4,12,2014,3,17-Dec-14
,42,Zomba 4,12,2014,3,23-Dec-14
,34,Zomba 4,12,2014,3,23-Dec-14
,25,Zomba 4,12,2014,3,16-Dec-14
,64,Zomba 4,12,2014,3,17-Dec-14
,20,Zomba 4,12,2014,3,17-Dec-14
,47,Zomba 4,3,2015,3,25-Mar-15
,16,Zomba 4,12,2014,3,19-Dec-14
,29,Zomba 4,1,2013,3,04-Jan-13
,50,Zomba 4,1,2013,3,03-Jan-13
,49,Zomba 4,1,2013,3,04-Jan-13
,25,Zomba 4,1,2013,3,03-Jan-13
,23,Zomba 4,1,2013,3,04-Jan-13
,13,Zomba 4,3,2015,3,25-Mar-15
,20,Zomba 4,3,2015,3,09-Mar-15
,7,Zomba 4,3,2015,3,10-Mar-15
,11,Zomba 4,3,2015,3,10-Mar-15
,10,Zomba 4,3,2015,3,10-Mar-15
,10,Zomba 4,3,2015,3,10-Mar-15
,12,Zomba 4,3,2015,3,10-Mar-15
,45,Zomba 4,3,2015,3,10-Mar-15
,7,Zomba 4,3,2015,3,24-Mar-15
,13,Zomba 4,3,2015,3,10-Mar-15
,17,Zomba 4,3,2015,3,12-Mar-15
,7,Zomba 4,3,2015,3,08-Mar-15
,39,Zomba 4,3,2015,3,10-Mar-15
,32,Zomba 4,3,2015,3,10-Mar-15
,50,Zomba 4,3,2015,3,13-Mar-15
,31,Zomba 4,3,2015,3,13-Mar-15
,41,Zomba 4,3,2015,3,13-Mar-15
,48,Zomba 4,3,2015,3,12-Mar-15
,35,Zomba 4,3,2015,3,13-Mar-15
,16,Zomba 4,1,2012,3,06-Jan-12
,23,Zomba 4,3,2015,3,17-Mar-15
,18,Zomba 4,3,2015,3,17-Mar-15
,29,Zomba 4,3,2015,3,14-Mar-15
,26,Zomba 4,3,2015,3,21-Mar-15
,34,Zomba 4,3,2015,3,22-Mar-15
,20,Zomba 4,3,2015,3,25-Mar-15
,69,Zomba 4,3,2015,3,13-Mar-15
,45,Zomba 4,1,2013,3,27-Jan-13
,20,Zomba 4,3,2015,3,10-Mar-15
,30,Zomba 4,3,2015,3,15-Mar-15
,16,Zomba 4,3,2015,3,14-Mar-15
,30,Zomba 4,3,2015,3,14-Mar-15
,19,Zomba 4,3,2015,3,14-Mar-15
,25,Zomba 4,3,2015,3,14-Mar-15
,45,Zomba 4,3,2015,3,11-Mar-15
,30,Zomba 4,3,2015,3,10-Mar-15
,32,Zomba 4,3,2015,3,19-Mar-15
,21,Zomba 4,3,2015,3,19-Mar-15
,38,Zomba 4,3,2015,3,19-Mar-15
,54,Zomba 4,3,2015,3,19-Mar-15
,26,Zomba 4,3,2015,3,31-Mar-15
,16,Zomba 4,3,2015,3,31-Mar-15
,24,Zomba 4,1,2012,3,11-Jan-12
,19,Zomba 4,1,2012,3,11-Jan-12
,36,Zomba 4,3,2015,3,10-Mar-15
,20,Zomba 4,1,2012,3,11-Jan-12
,38,Zomba 4,1,2012,3,04-Jan-12
,21,Zomba 4,1,2012,3,11-Jan-12
,21,Zomba 4,3,2015,3,18-Mar-15
,42,Zomba 4,3,2015,3,15-Mar-15
,46,Zomba 4,3,2015,3,15-Mar-15
,20,Zomba 4,3,2015,3,11-Mar-15
,15,Zomba 4,3,2015,3,26-Mar-15
,15,Zomba 4,3,2015,3,26-Mar-15
,40,Zomba 4,3,2015,3,26-Mar-15
,20,Zomba 4,3,2015,3,26-Mar-15
,50,Zomba 4,4,2015,3,13-Apr-15
,45,Zomba 4,3,2015,3,16-Mar-15
,30,Zomba 4,4,2015,3,13-Apr-15
