ID,vcs201_attendees_total,vcs011_prgrm,month,year,vcs009_country,vcs014_mtg_date
,74,Mfw,10,2014,2,21-Jan-14
,27,Mbl1,10,2014,2,30-Jul-14
,35,Mbl1,10,2014,2,30-Jul-14
,49,Mfw,10,2014,2,21-Jan-14
,67,Mfw,10,2014,2,21-Jan-14
,35,Mfw,10,2014,2,21-Jan-14
,45,Mbl1,10,2014,2,30-Jul-14
,43,Mfw,10,2014,2,21-Jan-14
,71,Mfw,10,2014,2,21-Jan-14
,27,Srk,10,2014,2,14-Aug-14
,37,Srk,10,2014,2,14-Aug-14
,45,Mfw,10,2014,2,21-Jan-14
,34,Mbl1,10,2014,2,30-Jul-14
,30,Srk,10,2014,2,14-Aug-14
,39,Mfw,10,2014,2,02-Dec-13
,47,Mfw,10,2014,2,21-Jan-14
,28,Srk,10,2014,2,14-Aug-14
,27,Srk,10,2014,2,14-Aug-14
,30,Srk,10,2014,2,14-Aug-14
,76,Mbl1,10,2014,2,30-Jul-14
,23,Srk,10,2014,2,14-Aug-14
,21,Srk,10,2014,2,14-Aug-14
,34,Mfw,10,2014,2,21-Jan-14
,60,Mfw,10,2014,2,21-Jan-14
,31,Mbl1,10,2014,2,30-Jul-14
,48,Srk,10,2014,2,14-Aug-14
,32,Srk,10,2014,2,14-Aug-14
,29,Srk,10,2014,2,14-Aug-14
,35,Srk,10,2014,2,14-Aug-14
,31,Srk,10,2014,2,14-Aug-14
,38,Mbl1,10,2014,2,30-Jul-14
,48,Mfw,10,2014,2,21-Jan-14
,33,Srk,10,2014,2,14-Aug-14
,31,Srk,10,2014,2,14-Aug-14
,55,Mfw,10,2014,2,21-Jan-14
,31,Mfw,10,2014,2,21-Jan-14
,34,Mfw,10,2014,2,21-Jan-14
,29,Mfw,10,2014,2,21-Jan-14
,34,Mfw,10,2014,2,21-Jan-14
,44,Srk,10,2014,2,14-Aug-14
,39,Srk,10,2014,2,14-Aug-14
,31,Srk,10,2014,2,14-Aug-14
,23,Mfw,10,2014,2,21-Jan-14
,36,Srk,10,2014,2,14-Aug-14
,31,Mbl1,10,2014,2,30-Jul-14
,36,Mbl1,10,2014,2,30-Jul-14
,22,Srk,10,2014,2,14-Aug-14
,48,Mbl1,10,2014,2,30-Jul-14
,74,Mfw,10,2014,2,21-Jan-14
,36,Mfw,10,2014,2,21-Jan-14
,34,Mbl1,10,2014,2,30-Jul-14
,41,Mbl1,10,2014,2,30-Jul-14
,48,Mfw,10,2014,2,21-Jan-14
,49,Mfw,10,2014,2,21-Jan-14
,24,Srk,10,2014,2,14-Aug-14
,54,Mfw,10,2014,2,21-Jan-14
,85,Mfw,10,2014,2,21-Jan-14
,55,Mfw,10,2014,2,21-Jan-14
,70,Mfw,10,2014,2,21-Jan-14
,31,Mfw,10,2014,2,21-Jan-14
,75,Mbl1,10,2014,2,30-Jul-14
,35,Mbl1,10,2014,2,30-Jul-14
,24,Mbl1,10,2014,2,30-Jul-14
,30,Mbl1,10,2014,2,30-Jul-14
,29,Srk,10,2014,2,14-Aug-14
,56,Mfw,10,2014,2,19-Dec-13
,53,Mfw,10,2014,2,11-Jan-14
,32,Mfw,10,2014,2,10-Jan-13
,63,Mfw,10,2014,2,09-Jan-14
,24,Srk,10,2014,2,18-Jun-14
,18,Srk,10,2014,2,21-Jun-14
,22,Srk,10,2014,2,17-Jul-14
,40,Mfw,10,2014,2,07-Dec-13
,25,Srk,10,2014,2,10-Jul-14
,69,Mfw,10,2014,2,14-Nov-13
,61,Mfw,10,2014,2,08-Jan-14
,125,Mfw,10,2014,2,19-Dec-13
,64,Mfw,10,2014,2,16-Dec-13
,46,Mfw,10,2014,2,14-Nov-13
,45,Mfw,10,2014,2,14-Dec-13
,19,Srk,10,2014,2,07-Jul-14
,40,Srk,10,2014,2,07-Jul-14
,26,Mfw,10,2014,2,02-Dec-13
,40,Srk,10,2014,2,04-Sep-13
,63,Srk,10,2014,2,03-Dec-13
,26,Mbl1,10,2014,2,21-Jun-14
,32,Mbl1,10,2014,2,14-Jul-14
,33,Srk,10,2014,2,20-Jun-14
,69,Mfw,10,2014,2,08-Jan-14
,45,Mbl1,10,2014,2,08-Jul-14
,49,Mfw,10,2014,2,18-Dec-13
,50,Srk,10,2014,2,03-Dec-13
,63,Srk,10,2014,2,25-Jun-14
