ID,cem301_attendees_total,cem011_prgrm,month,year,cem009_country
,25,Kibuku 3,5,2013,2
,42,Kibuku 3,5,2013,2
,28,Kibuku 3,5,2013,2
,43,Kibuku 3,5,2013,2
,25,Kibuku 3,5,2013,2
,61,Kibuku 3,5,2013,2
,28,Kibuku 3,5,2013,2
,34,Kibuku 3,5,2013,2
,55,Kibuku 3,5,2013,2
,38,Kibuku 3,5,2013,2
,51,Kibuku 3,5,2013,2
,18,Kibuku 3,5,2013,2
,20,Kibuku 3,5,2013,2
,30,Kibuku 3,5,2013,2
,60,Kibuku 3,5,2013,2
,30,Kibuku 3,5,2013,2
,38,Kibuku 3,5,2013,2
,50,Kibuku 3,5,2013,2
,47,Kibuku 3,5,2013,2
,43,Kibuku 3,5,2013,2
,40,Kibuku 3,5,2013,2
,32,Kibuku 3,5,2013,2
,35,Kibuku 3,5,2013,2
,40,Kibuku 3,5,2013,2
,23,Kibuku 3,5,2013,2
,30,Kibuku 3,5,2013,2
,29,Kibuku 3,5,2013,2
,55,Kibuku 3,5,2013,2
,45,Kibuku 3,5,2013,2
,30,Kibuku 3,5,2013,2
,80,Kibuku 3,5,2013,2
,25,Kibuku 3,5,2013,2
,28,Kibuku 3,5,2013,2
,61,Kibuku 3,5,2013,2
,35,Kibuku 3,5,2013,2
,50,Kibuku 3,5,2013,2
,52,Kibuku 3,5,2013,2
,50,Kibuku 3,5,2013,2
,55,Kibuku 3,5,2013,2
,30,Kibuku 3,5,2013,2
,61,Kibuku 3,5,2013,2
,40,Kibuku 3,5,2013,2
,29,Kibuku 3,5,2013,2
,56,Kibuku 3,5,2013,2
,30,Kibuku 3,5,2013,2
,22,Kibuku 3,5,2013,2
,57,Kibuku 3,5,2013,2
,50,Kibuku 3,5,2013,2
,50,Kibuku 3,5,2013,2
,49,Kibuku 3,5,2013,2
,30,Kibuku 3,5,2013,2
,25,Kibuku 3,5,2013,2
,61,Kibuku 3,5,2013,2
,25,Kibuku 3,5,2013,2
,22,Kibuku 3,5,2013,2
,37,Kibuku 3,5,2013,2
,45,Kibuku 3,5,2013,2
,42,Kibuku 3,5,2013,2
,23,Kibuku 3,5,2013,2
,44,Kibuku 3,5,2013,2
,64,Kibuku 3,5,2013,2
,20,Kibuku 3,5,2013,2
,28,Kibuku 3,5,2013,2
,25,Kibuku 3,5,2013,2
,27,Kibuku 3,5,2013,2
,29,Kibuku 3,5,2013,2
,21,Kibuku 3,5,2013,2
,35,Kibuku 3,5,2013,2
,39,Kibuku 3,5,2013,2
,55,Kibuku 3,5,2013,2
,74,Kibuku 3,5,2013,2
,41,Kibuku 3,5,2013,2
,48,Kibuku 3,5,2013,2
,39,Kibuku 3,5,2013,2
,36,Kibuku 3,5,2013,2
,41,Kibuku 3,5,2013,2
,34,Kibuku 3,5,2013,2
,37,Kibuku 3,5,2013,2
,63,Kibuku 3,5,2013,2
,28,Kibuku 3,5,2013,2
,50,Kibuku 3,5,2013,2
,36,Kibuku 3,5,2013,2
,16,Kibuku 3,5,2013,2
,36,Kibuku 3,5,2013,2
,50,Kibuku 4,5,2013,2
,23,Kibuku 3,5,2013,2
,55,Kibuku 3,5,2013,2
,47,Kibuku 3,5,2013,2
,20,Kibuku 3,5,2013,2
,69,Kibuku 3,5,2013,2
