ID,program,programID,total_chl_used,total_period_day,total_period_30day,avrg_30day_usage,avrg_30day_usage_litres,num_of_Deliveries,Jerrican_delivered,date_of_first_delivery,date_of_last_delivery,month,year,country
,Yala,10050063,24,1177,39.23333,0.6117247,3.058624,7,27,0000-00-00,0000-00-00,9,2017,1
,Kakamega,10050065,33,839,27.96667,1.179976,5.89988,10,37,0000-00-00,0000-00-00,9,2017,1
,Busia-KE,10050066,27,853,28.43333,0.9495897,4.747949,9,31,0000-00-00,2043-00-05,9,2017,1
,Busia-KE,10050067,32,854,28.46667,1.124122,5.620609,10,36,0000-00-00,2043-00-06,9,2017,1
,Busia-KE,10050068,16,600,20,0.8,4,6,18,0000-00-00,2043-00-05,9,2017,1
,Busia-KE,10050069,20,692,23.06667,0.867052,4.33526,6,23,0000-00-00,0000-00-00,6,2017,1
,Busia-KE,10050070,15,798,26.6,0.5639098,2.819549,6,18,0000-00-00,2043-00-05,9,2017,1
,Yala,10050071,27,1218,40.6,0.6650246,3.325123,8,31,0000-00-00,2043-02-00,10,2017,1
,Yala,10050072,20,1175,39.16667,0.5106383,2.553191,6,24,0000-00-00,0000-00-00,8,2017,1
,Yala,10050073,12,1174,39.13334,0.3066439,1.53322,4,16,0000-00-00,0000-00-00,8,2017,1
,Yala,10050074,20,928,30.93333,0.6465517,3.232759,6,24,04/05/2042,0000-00-00,9,2017,1
,Yala,10050075,24,966,32.2,0.7453416,3.726708,7,27,04/05/2042,2043-02-00,10,2017,1
,Yala,10050076,23,1180,39.33333,0.5847458,2.923729,7,27,0000-00-00,0000-00-00,9,2017,1
,Busia-KE,10050077,5,201,6.7,0.7462687,3.731344,3,9,0000-00-00,08/03/2043,10,2017,1
,Kakamega,10050078,1,296,9.866667,0.1013514,0.5067568,2,5,0000-00-00,0000-00-00,7,2017,1
,Kakamega,10050081,3,399,13.3,0.2255639,1.12782,2,7,0000-00-00,08/03/2043,10,2017,1
,Busia-KE,10050082,3,103,3.433333,0.8737864,4.368932,2,7,0000-00-00,0000-00-00,7,2017,1
,Busia-KE,10050083,9,723,24.1,0.373444,1.86722,4,13,0000-00-00,0000-00-00,9,2017,1
,Busia-KE,10050084,8,785,26.16667,0.3057325,1.528662,3,12,0000-00-00,0000-00-00,9,2017,1
