id,cr011_prgrm,cr102_wpt_id,total_chl_used,total_period_day,total_period_30day,avrg_30day_usage,avrg_30day_usage_litres,num_of_Deliveries,Jerrican_delivered,date_of_first_delivery,date_of_last_delivery,month,year,country,
,VHG,10230485,9,487,16.23333,0.5544147,2.772074,5,11,2014/04/29,2015/08/29,8,2015,1,
,VHG,10230488,14,557,18.56667,0.7540395,3.770197,6,14,2014/02/18,2015/08/29,8,2015,1,
,VHG,10230491,3,118,3.933333,0.7627118,3.813559,3,6,2014/02/26,2014/06/24,6,2014,1,
,VHG,10230492,4,118,3.933333,1.016949,5.084746,3,6,2014/02/26,2014/06/24,6,2014,1,
,VHG,10230493,4,115,3.833333,1.043478,5.217391,3,6,2014/03/01,2014/06/24,6,2014,1,
,VHG,10230494,4,118,3.933333,1.016949,5.084746,3,6,2014/02/26,2014/06/24,6,2014,1,
,VHG,10230495,2,117,3.9,0.5128205,2.564102,2,4,2014/02/27,2014/06/24,6,2014,1,
,VHG,10230496,4,117,3.9,1.025641,5.128205,3,6,2014/02/27,2014/06/24,6,2014,1,
,VHG,10230497,6,513,17.1,0.3508772,1.754386,4,8,2014/02/26,2015/07/24,7,2015,1,
,VHG,10230498,6,525,17.5,0.3428572,1.714286,4,8,2014/02/27,2015/08/06,8,2015,1,
,VHG,10230499,4,524,17.46667,0.2290076,1.145038,4,8,2014/02/27,2015/08/05,8,2015,1,
,VHG,10230500,2,117,3.9,0.5128205,2.564102,2,4,2014/02/27,2014/06/24,6,2014,1,
,VHG,10230501,4,514,17.13333,0.233463,1.167315,3,6,2014/02/28,2015/07/27,7,2015,1,
,VHG,10230502,6,543,18.1,0.3314917,1.657459,4,7,2014/05/02,2015/10/27,10,2015,1,
,VHG,10230503,4,586,19.53333,0.2047782,1.023891,3,7,2014/02/28,2015/10/07,10,2015,1,
,VHG,10230504,4,514,17.13333,0.233463,1.167315,3,6,2014/02/28,2015/07/27,7,2015,1,
,VHG,10230505,2,116,3.866667,0.5172414,2.586207,2,4,2014/02/28,2014/06/24,6,2014,1,
,VHG,10230506,5,86,2.866667,1.744186,8.720931,3,8,2014/03/04,2014/05/29,5,2014,1,
,VHG,10230508,16,581,19.36667,0.8261618,4.130809,8,18,2014/01/30,2015/09/03,9,2015,1,
,VHG,10230510,11,557,18.56667,0.5924596,2.962298,6,12,2014/02/18,2015/08/29,8,2015,1,
,VHG,10230513,6,229,7.633333,0.7860262,3.930131,4,8,2015/01/12,2015/08/29,8,2015,1,
,VHG,10230514,13,487,16.23333,0.8008214,4.004107,6,15,2014/04/29,2015/08/29,8,2015,1,
,VHG,10230515,4,117,3.9,1.025641,5.128205,3,6,2014/02/27,2014/06/24,6,2014,1,
,VHG,10230516,4,116,3.866667,1.034483,5.172414,3,6,2014/02/28,2014/06/24,6,2014,1,
,VHG,10230518,10,515,17.16667,0.5825243,2.912621,5,12,2014/02/27,2015/07/27,7,2015,1,
,VHG,10230519,4,117,3.9,1.025641,5.128205,3,6,2014/02/27,2014/06/24,6,2014,1,
,VHG,10230520,7,484,16.13333,0.4338843,2.169421,4,9,2014/03/11,2015/07/08,7,2015,1,
,VHG,10230521,5,484,16.13333,0.3099174,1.549587,4,8,2014/03/11,2015/07/08,7,2015,1,
,VHG,10230522,5,453,15.1,0.3311258,1.655629,3,6,2014/05/08,2015/08/04,8,2015,1,
,VHG,10230523,4,539,17.96667,0.2226345,1.113173,3,6,2014/03/12,2015/09/02,9,2015,1,
,VHG,10230524,5,457,15.23333,0.3282276,1.641138,3,7,2014/03/05,2015/06/05,6,2015,1,
