ID,cem301_attendees_total,cem0_prgrm,month,year,country
,37,KBK3,5,2013,2
,48,KBK3,5,2013,2
,50,KBK3,5,2013,2
,22,KBK3,5,2013,2
,67,KBK3,5,2013,2
,30,KBK3,5,2013,2
,36,KBK3,5,2013,2
,40,KBK3,5,2013,2
,49,KBK3,5,2013,2
,35,KBK3,5,2013,2
,39,KBK3,5,2013,2
,83,KBK3,5,2013,2
,43,KBK3,5,2013,2
,45,KBK3,5,2013,2
,27,KBK3,5,2013,2
,46,KBK3,5,2013,2
,45,KBK3,5,2013,2
,22,KBK3,5,2013,2
,28,KBK3,5,2013,2
,40,KBK4,5,2013,2
,33,KBK3,5,2013,2
,60,KBK3,5,2013,2
,35,KBK4,5,2013,2
,24,KBK3,5,2013,2
,63,KBK3,5,2013,2
,33,KBK3,5,2013,2
,56,KBK3,5,2013,2
,38,KBK3,5,2013,2
,42,KBK3,5,2013,2
,21,KBK3,5,2013,2
,39,KBK3,5,2013,2
,40,KBK3,5,2013,2
,86,KBK3,5,2013,2
,61,KBK3,5,2013,2
,25,KBK3,5,2013,2
,40,KBK3,5,2013,2
,54,KBK3,5,2013,2
,13,KBK3,5,2013,2
,31,KBK3,5,2013,2
,41,KBK3,5,2013,2
,74,KBK3,5,2013,2
,59,KBK3,5,2013,2
,56,KBK3,5,2013,2
,33,KBK3,5,2013,2
,28,KBK3,5,2013,2
,60,KBK3,5,2013,2
,50,KBK3,5,2013,2
,32,KBK3,5,2013,2
,41,KBK3,5,2013,2
,25,KBK3,5,2013,2
,25,KBK3,5,2013,2
,28,KBK3,5,2013,2
,35,KBK3,5,2013,2
,40,KBK3,5,2013,2
,42,KBK3,5,2013,2
,31,KBK3,5,2013,2
,40,KBK3,5,2013,2
,24,KBK3,5,2013,2
,55,KBK3,5,2013,2
,43,KBK3,5,2013,2
,61,KBK3,5,2013,2
,42,KBK3,5,2013,2
,28,KBK3,5,2013,2
,38,KBK3,5,2013,2
,35,KBK3,5,2013,2
,34,KBK3,5,2013,2
,38,KBK3,5,2013,2
,20,KBK3,5,2013,2
,51,KBK3,5,2013,2
,18,KBK3,5,2013,2
,50,KBK3,5,2013,2
,47,KBK3,5,2013,2
,43,KBK3,5,2013,2
,30,KBK3,5,2013,2
,60,KBK3,5,2013,2
,38,KBK3,5,2013,2
,30,KBK3,5,2013,2
,40,KBK3,5,2013,2
,35,KBK3,5,2013,2
,30,KBK3,5,2013,2
,40,KBK3,5,2013,2
,23,KBK3,5,2013,2
,55,KBK3,5,2013,2
,29,KBK3,5,2013,2
,32,KBK3,5,2013,2
,80,KBK3,5,2013,2
,28,KBK3,5,2013,2
,45,KBK3,5,2013,2
,61,KBK3,5,2013,2
,30,KBK3,5,2013,2
,25,KBK3,5,2013,2
,55,KBK3,5,2013,2
,30,KBK3,5,2013,2
,35,KBK3,5,2013,2
,50,KBK3,5,2013,2
,52,KBK3,5,2013,2
,50,KBK3,5,2013,2
,56,KBK3,5,2013,2
,50,KBK3,5,2013,2
,29,KBK3,5,2013,2
,49,KBK3,5,2013,2
,22,KBK3,5,2013,2
,50,KBK3,5,2013,2
,40,KBK3,5,2013,2
,25,KBK3,5,2013,2
,61,KBK3,5,2013,2
,30,KBK3,5,2013,2
,57,KBK3,5,2013,2
,61,KBK3,5,2013,2
,30,KBK3,5,2013,2
,22,KBK3,5,2013,2
,25,KBK3,5,2013,2
,29,KBK3,5,2013,2
,42,KBK3,5,2013,2
,23,KBK3,5,2013,2
,20,KBK3,5,2013,2
,27,KBK3,5,2013,2
,25,KBK3,5,2013,2
,35,KBK3,5,2013,2
,64,KBK3,5,2013,2
,44,KBK3,5,2013,2
,37,KBK3,5,2013,2
,28,KBK3,5,2013,2
,21,KBK3,5,2013,2
,45,KBK3,5,2013,2
,39,KBK3,5,2013,2
,55,KBK3,5,2013,2
,39,KBK3,5,2013,2
,41,KBK3,5,2013,2
,74,KBK3,5,2013,2
,41,KBK3,5,2013,2
,48,KBK3,5,2013,2
,34,KBK3,5,2013,2
,36,KBK3,5,2013,2
,37,KBK3,5,2013,2
,63,KBK3,5,2013,2
,50,KBK3,5,2013,2
,28,KBK3,5,2013,2
,55,KBK3,5,2013,2
,69,KBK3,5,2013,2
,20,KBK3,5,2013,2
,23,KBK3,5,2013,2
,50,KBK4,5,2013,2
,36,KBK3,5,2013,2
,16,KBK3,5,2013,2
,36,KBK3,5,2013,2
,47,KBK3,5,2013,2
,50,KBK3,5,2013,2
,25,KBK4,7,2013,2
,58,KBK2,7,2013,2
,33,KBK2,7,2013,2
,50,KBK4,7,2013,2
,35,KBK4,7,2013,2
,45,KBK4,7,2013,2
,45,KBK4,7,2013,2
,52,KBK4,7,2013,2
,26,KBK4,7,2013,2
,35,KBK4,7,2013,2
,30,KBK4,7,2013,2
,50,KBK4,7,2013,2
,33,KBK4,7,2013,2
,53,KBK4,7,2013,2
,49,KBK4,7,2013,2
,29,KBK4,7,2013,2
,21,KBK,7,2013,2
,69,KBK,7,2013,2
,31,KBK4,7,2013,2
,49,KBK4,7,2013,2
,28,KBK4,7,2013,2
,34,KBK4,7,2013,2
,44,KBK4,7,2013,2
,68,KBK4,7,2013,2
,31,KBK4,7,2013,2
,42,KBK4,7,2013,2
,24,KBK4,7,2013,2
,14,KBK4,7,2013,2
,43,KBK4,7,2013,2
,24,KBK4,7,2013,2
,61,KBK4,7,2013,2
,20,KBK4,7,2013,2
,53,KBK4,7,2013,2
,47,KBK4,7,2013,2
,45,KBK4,7,2013,2
,22,KBK4,8,2013,2
,31,KBK4,8,2013,2
,46,KBK4,8,2013,2
,29,KBK4,8,2013,2
,30,KBK4,8,2013,2
,48,KBK4,8,2013,2
,18,KBK4,8,2013,2
,15,KBK4,8,2013,2
,54,KBK4,8,2013,2
,34,KBK4,8,2013,2
,29,KBK4,8,2013,2
,32,KBK4,8,2013,2
,40,KBK4,8,2013,2
,33,KBK4,8,2013,2
,31,KBK4,8,2013,2
,39,KBK4,8,2013,2
,51,KBK4,8,2013,2
,25,KBK4,8,2013,2
,40,KBK4,8,2013,2
,29,KBK4,8,2013,2
,38,KBK4,8,2013,2
,48,KBK4,8,2013,2
,21,KBK4,8,2013,2
,24,KBK4,8,2013,2
,42,KBK4,8,2013,2
,45,KBK4,8,2013,2
,51,KBK,8,2013,2
,17,KBK4,8,2013,2
,41,KBK4,8,2013,2
,52,KBK2,8,2013,2
,34,KBK4,8,2013,2
,51,KBK4,8,2013,2
,40,KBK4,8,2013,2
,30,KBK4,8,2013,2
,21,KBK4,8,2013,2
,46,KBK2,8,2013,2
,30,KBK4,8,2013,2
,35,KBK4,8,2013,2
,39,KBK3,8,2013,2
,25,KBK4,8,2013,2
,89,KBK4,8,2013,2
,52,KBK3,8,2013,2
,50,KBK4,8,2013,2
,30,KBK4,8,2013,2
,30,KBK4,8,2013,2
,30,KBK4,8,2013,2
,56,KBK2,8,2013,2
,35,KBK2,8,2013,2
,30,KBK2,8,2013,2
,45,KBK4,8,2013,2
,42,KBK4,8,2013,2
,22,KBK4,8,2013,2
,24,KBK4,8,2013,2
,28,KBK4,8,2013,2
,33,KBK4,8,2013,2
,10,KBK4,8,2013,2
,48,KBK4,8,2013,2
,23,KBK4,8,2013,2
,34,KBK4,8,2013,2
,53,KBK4,8,2013,2
,35,KBK,8,2013,2
,24,KBK4,8,2013,2
,52,KBK4,8,2013,2
,41,KBK4,8,2013,2
,24,KBK4,8,2013,2
,41,KBK4,8,2013,2
,28,KBK4,8,2013,2
,28,KBK4,8,2013,2
,34,KBK4,8,2013,2
,72,KBK4,8,2013,2
,49,KBK4,8,2013,2
,50,KBK4,8,2013,2
,51,KBK4,8,2013,2
,22,KBK4,8,2013,2
,66,KBK4,8,2013,2
,48,KBK4,8,2013,2
,30,KBK4,8,2013,2
,30,KBK4,8,2013,2
,32,KBK4,8,2013,2
,34,KBK4,8,2013,2
,45,KBK4,8,2013,2
,46,KBK4,8,2013,2
,28,KBK4,8,2013,2
,69,KBK4,8,2013,2
,20,KBK4,8,2013,2
,25,KBK4,8,2013,2
,25,KBK4,8,2013,2
,37,KBK4,8,2013,2
,17,KBK4,8,2013,2
,46,KBK4,8,2013,2
,30,KBK4,8,2013,2
,23,KBK4,8,2013,2
,42,KBK4,8,2013,2
,32,KBK4,8,2013,2
,39,KBK4,8,2013,2
,38,KBK4,8,2013,2
,52,KBK4,8,2013,2
,48,KBK4,8,2013,2
,58,KBK4,8,2013,2
,28,KBK4,8,2013,2
,37,KBK4,8,2013,2
,27,KBK4,8,2013,2
,40,KBK4,8,2013,2
,20,KBK4,8,2013,2
,32,KBK4,8,2013,2
,57,KBK4,8,2013,2
,37,KBK4,8,2013,2
,23,KBK4,8,2013,2
,16,KBK2,8,2013,2
,36,KBK2,8,2013,2
,32,KBK4,8,2013,2
,28,KBK4,8,2013,2
,21,KBK4,8,2013,2
,43,KBK4,8,2013,2
,52,KBK4,8,2013,2
,41,KBK4,8,2013,2
,20,KBK4,8,2013,2
,48,KBK2,8,2013,2
,41,KBK2,8,2013,2
,32,KBK4,8,2013,2
,51,MFW,1,2014,2
,42,MFW,1,2014,2
,58,MFW,1,2014,2
,63,MFW,1,2014,2
,41,MFW,1,2014,2
,35,MFW,1,2014,2
,60,MFW,1,2014,2
,35,MFW,1,2014,2
,22,MFW,1,2014,2
,53,MFW,1,2014,2
,76,MFW,1,2014,2
,63,MFW,1,2014,2
,79,MFW,1,2014,2
,84,MFW,1,2014,2
,54,MFW,1,2014,2
,56,MFW,1,2014,2
,32,MFW,1,2014,2
,50,MFW,1,2014,2
,39,MFW,1,2014,2
,50,MFW,1,2014,2
,98,MFW,1,2014,2
,22,MFW,1,2014,2
,29,MFW,1,2014,2
,54,MFW,1,2014,2
,59,MFW,1,2014,2
,84,MFW,1,2014,2
,65,MFW,1,2014,2
,104,MFW,1,2014,2
,44,MFW,1,2014,2
,45,MFW,1,2014,2
,50,MFW,1,2014,2
,71,MFW,1,2014,2
,25,MFW,1,2014,2
,37,MFW,1,2014,2
,38,MFW,1,2014,2
,57,MFW,1,2014,2
,51,MFW,1,2014,2
,75,MFW,1,2014,2
,24,MFW,1,2014,2
,98,MFW,1,2014,2
,21,MFW,1,2014,2
,30,MFW,1,2014,2
,31,MFW,1,2014,2
,40,MFW,1,2014,2
,44,MFW,1,2014,2
,41,MFW,1,2014,2
,60,MFW,1,2014,2
,95,MFW,1,2014,2
,30,MFW,1,2014,2
,35,MFW,1,2014,2
,62,MFW,1,2014,2
,44,MFW,1,2014,2
,76,MFW,1,2014,2
,45,MFW,1,2014,2
,55,MFW,1,2014,2
,81,MFW,1,2014,2
,76,MFW,1,2014,2
,41,MFW,1,2014,2
,21,MFW,1,2014,2
,85,MFW,1,2014,2
,24,MFW,1,2014,2
,67,MFW,1,2014,2
,55,MFW,1,2014,2
,70,MFW,1,2014,2
,31,MFW,1,2014,2
,102,MFW,1,2014,2
,114,MFW,1,2014,2
,48,MFW,1,2014,2
,43,MFW,1,2014,2
,54,MFW,1,2014,2
,45,MFW,1,2014,2
,40,MFW,1,2014,2
,41,MFW,1,2014,2
,39,MFW,1,2014,2
,29,MFW,1,2014,2
,48,MFW,1,2014,2
,25,MFW,1,2014,2
,50,MFW,1,2014,2
,113,MFW,1,2014,2
,28,MFW,1,2014,2
,60,MFW,1,2014,2
,65,MFW,1,2014,2
,85,MFW,1,2014,2
,68,MFW,1,2014,2
,94,MFW,1,2014,2
,72,MFW,1,2014,2
,58,MFW,1,2014,2
,52,MFW,1,2014,2
,92,MFW,1,2014,2
,31,MFW,1,2014,2
,30,MFW,1,2014,2
,98,MFW,1,2014,2
,52,MFW,1,2014,2
,56,MFW,1,2014,2
,33,MFW,1,2014,2
,38,MFW,1,2014,2
,30,MFW,1,2014,2
,72,MFW,1,2014,2
,61,MFW,1,2014,2
,31,MFW,1,2014,2
,62,MFW,1,2014,2
,62,MFW,1,2014,2
,45,MFW,1,2014,2
,23,MFW,1,2014,2
,30,MFW,1,2014,2
,45,MFW,1,2014,2
,44,MFW,1,2014,2
,20,MFW,1,2014,2
,64,MFW,1,2014,2
,54,MFW,1,2014,2
,29,MFW,1,2014,2
,56,MFW,1,2014,2
,107,MFW,1,2014,2
,43,MFW,1,2014,2
,21,MFW,1,2014,2
,48,MFW,1,2014,2
,66,MFW,1,2014,2
,64,MFW,1,2014,2
,44,MFW,1,2014,2
,65,MFW,1,2014,2
,115,MFW,1,2014,2
,34,MFW,1,2014,2
,36,MFW,1,2014,2
,49,MFW,1,2014,2
,103,MFW,1,2014,2
,88,MFW,1,2014,2
,32,MFW,1,2014,2
,62,MFW,1,2014,2
,42,MFW,1,2014,2
,42,MFW,1,2014,2
,41,MFW,1,2014,2
,49,MFW,1,2014,2
,38,MFW,1,2014,2
,31,MFW,1,2014,2
,67,MFW,1,2014,2
,37,MFW,1,2014,2
,80,MFW,1,2014,2
,70,MFW,1,2014,2
,57,MFW,1,2014,2
,79,MFW,1,2014,2
,78,MFW,1,2014,2
,58,MFW,1,2014,2
,49,MFW,1,2014,2
,42,MFW,1,2014,2
,60,MFW,1,2014,2
,88,MFW,1,2014,2
,120,MFW,1,2014,2
,45,MFW,1,2014,2
,30,MFW,1,2014,2
,101,MFW,1,2014,2
,61,MFW,1,2014,2
,53,MFW,1,2014,2
,44,MFW,1,2014,2
,80,MFW,1,2014,2
,80,MFW,1,2014,2
,51,MFW,1,2014,2
,220,MFW,1,2014,2
,38,MFW,1,2014,2
,85,MFW,1,2014,2
,162,MFW,1,2014,2
,44,MFW,1,2014,2
,62,MFW,1,2014,2
,54,MFW,1,2014,2
,61,MFW,1,2014,2
,33,MFW,1,2014,2
,50,MFW,1,2014,2
,31,MFW,1,2014,2
,59,MFW,1,2014,2
,35,MFW,1,2014,2
,46,MFW,1,2014,2
,68,MFW,1,2014,2
,69,MFW,1,2014,2
,29,MFW,1,2014,2
,54,MFW,1,2014,2
,42,MFW,1,2014,2
,86,MFW,1,2014,2
,48,MFW,1,2014,2
,35,MFW,1,2014,2
,211,MFW,1,2014,2
,41,MFW,1,2014,2
,50,MFW,1,2014,2
,82,MFW,1,2014,2
,79,MFW,1,2014,2
,38,MFW,1,2014,2
,144,MFW,1,2014,2
,41,MFW,1,2014,2
,75,MFW,1,2014,2
,71,MFW,1,2014,2
,22,MFW,1,2014,2
,58,MFW,1,2014,2
,40,MFW,1,2014,2
,60,MFW,1,2014,2
,58,MFW,1,2014,2
,80,MFW,1,2014,2
,49,MFW,1,2014,2
,48,MFW,1,2014,2
,66,MFW,1,2014,2
,90,MFW,1,2014,2
,62,MFW,1,2014,2
,73,MFW,1,2014,2
,45,MFW,1,2014,2
,80,MFW,1,2014,2
,52,MFW,1,2014,2
,49,MFW,1,2014,2
,84,MFW,1,2014,2
,47,MFW,1,2014,2
,35,MFW,1,2014,2
,68,MFW,1,2014,2
,72,MFW,1,2014,2
,77,MFW,1,2014,2
,52,MFW,1,2014,2
,19,MFW,1,2014,2
,43,MFW,1,2014,2
,69,MFW,1,2014,2
,48,MFW,1,2014,2
,35,MFW,1,2014,2
,98,MFW,1,2014,2
,82,MFW,1,2014,2
,40,MFW,1,2014,2
,257,MFW,1,2014,2
,66,MFW,1,2014,2
,53,MFW,1,2014,2
,67,MFW,1,2014,2
,61,MFW,1,2014,2
,90,MFW,1,2014,2
,45,MFW,1,2014,2
,54,MFW,1,2014,2
,52,MFW,1,2014,2
,43,MFW,1,2014,2
,68,MFW,1,2014,2
,74,MFW,1,2014,2
,45,MFW,1,2014,2
,35,MFW,1,2014,2
,38,MFW,1,2014,2
,54,MFW,1,2014,2
,80,MFW,1,2014,2
,51,MFW,1,2014,2
,30,MFW,1,2014,2
,81,MFW,1,2014,2
,60,MFW,1,2014,2
,77,MFW,1,2014,2
,70,MFW,1,2014,2
,60,MFW,1,2014,2
,41,MFW,1,2014,2
,58,MFW,1,2014,2
,39,MFW,1,2014,2
,89,MFW,1,2014,2
,56,MFW,1,2014,2
,60,MFW,1,2014,2
,116,MFW,1,2014,2
,39,MFW,1,2014,2
,87,MFW,1,2014,2
,50,MFW,1,2014,2
,210,MFW,1,2014,2
,73,MFW,1,2014,2
,74,MFW,1,2014,2
,40,MFW,1,2014,2
,33,MFW,1,2014,2
,83,MFW,1,2014,2
,58,MFW,1,2014,2
,53,MFW,1,2014,2
,63,MFW,1,2014,2
,56,MFW,1,2014,2
,82,MFW,1,2014,2
,35,MFW,1,2014,2
,109,MFW,1,2014,2
,49,MFW,1,2014,2
,66,MFW,1,2014,2
,40,MFW,1,2014,2
,77,MFW,1,2014,2
,53,MFW,1,2014,2
,40,MFW,1,2014,2
,47,MFW,1,2014,2
,76,MFW,1,2014,2
,57,MFW,1,2014,2
,112,MFW,1,2014,2
,35,MFW,1,2014,2
,44,MFW,1,2014,2
,57,MFW,1,2014,2
,47,MFW,1,2014,2
,90,MFW,1,2014,2
,14,MFW,1,2014,2
,40,MFW,1,2014,2
,70,MFW,1,2014,2
,40,MFW,2,2014,2
,66,MFW,2,2014,2
,20,MFW,2,2014,2
,58,MFW,2,2014,2
,121,MFW,2,2014,2
,52,MFW,2,2014,2
,152,MFW,2,2014,2
,40,MFW,2,2014,2
,69,MFW,2,2014,2
,73,MFW,2,2014,2
,35,MFW,2,2014,2
,51,MFW,2,2014,2
,69,MFW,2,2014,2
,20,MFW,2,2014,2
,28,MFW,2,2014,2
,85,MFW,2,2014,2
,55,MFW,2,2014,2
,60,MFW,2,2014,2
,44,MFW,2,2014,2
,58,MFW,2,2014,2
,180,MFW,2,2014,2
,97,MFW,2,2014,2
,36,MFW,2,2014,2
,135,MFW,2,2014,2
,88,MFW,2,2014,2
,119,MFW,2,2014,2
,64,MFW,2,2014,2
,50,MFW,2,2014,2
,17,MFW,2,2014,2
,38,MFW,2,2014,2
,32,MFW,2,2014,2
,106,MFW,2,2014,2
,53,MFW,2,2014,2
,84,MFW,2,2014,2
,108,MFW,2,2014,2
,40,MFW,2,2014,2
,72,MFW,2,2014,2
,35,MFW,2,2014,2
,60,MFW,2,2014,2
,102,MFW,2,2014,2
,23,MFW,2,2014,2
,65,MFW,2,2014,2
,54,MFW,2,2014,2
,87,MFW,2,2014,2
,77,MFW,2,2014,2
,45,MFW,2,2014,2
,68,MFW,2,2014,2
,30,MFW,2,2014,2
,48,MFW,2,2014,2
,173,MFW,2,2014,2
,92,MFW,2,2014,2
,101,MFW,2,2014,2
,96,MFW,2,2014,2
,86,MFW,2,2014,2
,120,MFW,2,2014,2
,50,MFW,2,2014,2
,52,MFW,2,2014,2
,56,MFW,2,2014,2
,55,MFW,2,2014,2
,62,MFW,2,2014,2
,68,MFW,2,2014,2
,69,MFW,2,2014,2
,86,MFW,2,2014,2
,85,MFW,2,2014,2
,40,MFW,2,2014,2
,61,MFW,2,2014,2
,35,MFW,2,2014,2
,83,MFW,2,2014,2
,42,MFW,2,2014,2
,40,MFW,2,2014,2
,79,MFW,2,2014,2
