ID,t011_prgrm,t311_wpt_pass,t301_wpt_flow_rate,t302_landowner_personality,t302a_rep_WSB_talkedto,t302b_rep_WSB_accepted_disp,t310_wpt_drinking_water,t303b_turbitube_100ntu,t303_turbidity_wet,t304_turbidity_dry,t305b_flow_how_many_months,avg_users,t311_wpt_pass,t009_country,month,year
,BTJ,0,,,1,1,0,,,,,,,2,10,2014
,BTJ,0,,,,,,,,,,,,2,10,2014
,BTJ,0,0,,,,,,,,,,,2,3,2015
,BTJ,1,,,1,1,1,,,,,40,1,2,10,2014
,BTJ,1,,,1,1,1,,,,,60,1,2,11,2014
,BTJ,1,,,1,1,1,,,,,170.8333333,1,2,10,2014
,BTJ,0,,,,,,,,,,,,2,10,2014
,BTJ,0,,,1,1,1,,,,,83.33333333,0,2,10,2014
,BTJ,1,,,0,,1,,,,,48.33333333,1,2,10,2014
,BTJ,1,,,0,,1,,,,,90,1,2,11,2014
,BTJ,1,,,1,1,1,,,,,188.3333333,1,2,10,2014
,BTJ,0,,,,,,,,,,,,2,11,2014
,BTJ,0,,,,,0,,,,,,,2,10,2014
,BTJ,0,,,,,,,,,,,,2,10,2014
,BTJ,0,,,,,,,,,,,,2,11,2014
,BTJ,1,,,0,,1,,,,,35,1,2,11,2014
,BTJ,1,,,0,,1,,,,,37.66666667,1,2,10,2014
,BTJ,0,,,,,,,,,,,,2,10,2014
,BTJ,1,,,0,,1,,,,,66.66666667,1,2,11,2014
,BTJ,1,,,0,,1,,,,,48,1,2,11,2014
,BTJ,1,,,1,1,1,,,,,35,1,2,10,2014
,BTJ,0,,,,,,,,,,,,2,11,2014
,BTJ,1,,,1,1,1,,,,,45,1,2,10,2014
,BTJ,0,,,1,1,0,,,,,,,2,10,2014
,BTJ,1,,,1,1,1,,,,,250,1,2,10,2014
,BTJ,1,,,1,1,1,,,,,73.75,1,2,10,2014
,BTJ,0,,,,,,,,,,,,2,10,2014
,BTJ,1,,,1,1,1,,,,,55.83333333,1,2,11,2014
,BTJ,1,,,1,1,1,,,,,46.66666667,1,2,11,2014
,BTJ,1,,,0,,1,,,,,41,1,2,10,2014
,BTJ,1,,,1,1,1,,,,,135,1,2,11,2014
,BTJ,0,,,0,,1,,,,,17.5,0,2,10,2014
,BTJ,1,,,0,,1,,,,,400,1,2,10,2014
,BTJ,1,,,1,1,1,,,,,36.66666667,1,2,10,2014
,BTJ,1,,,1,1,1,,,,,30,1,2,10,2014
,BTJ,0,,,,,0,,,,,,,2,11,2014
,BTJ,1,,,1,1,1,,,,,100,1,2,10,2014
,BTJ,1,,,1,1,1,,,,11,36.66666667,1,2,10,2014
,BTJ,0,,,,,,,,,,,,2,11,2014
,BTJ,1,,,1,1,1,,,,,20,1,2,10,2014
,BTJ,0,,,0,,1,,,,,,,2,10,2014
,BTJ,1,,,1,1,1,,,,,120,1,2,11,2014
,BTJ,0,,,,,,,,,,,,2,11,2014
,BTJ,0,,,,,,,,,,,,2,10,2014
,BTJ,1,,,0,,1,,,,,32.5,1,2,11,2014
,BTJ,1,,,1,1,1,,,,,88.33333333,1,2,10,2014
,BTJ,0,,,0,,1,,,,,,,2,11,2014
,BTJ,1,,,1,1,1,,,,,76.66666667,1,2,10,2014
,BTJ,1,,,1,1,1,,,,,43.33333333,1,2,10,2014
,BTJ,0,,,,,,,,,,,,2,11,2014
,BTJ,1,,,1,1,1,,,,,30,1,2,10,2014
,BTJ,1,,,0,,1,,,,,200,1,2,10,2014
,BTJ,1,,,0,,1,,,,,52,1,2,10,2014
,BTJ,0,,,,,0,,,,,,,2,10,2014
,BTJ,1,,,1,1,1,,,,,212.5,1,2,11,2014
