t101a_wpt_verifn_id,t011_program,t313_wpt_fail,t301b_wpt_flow_rate_slow,t302_landowner_personality,t302a_rep_WSB_talkedto,t302b_rep_WSB_accepted_disp,t310_wpt_drinking_water,t303b_turbitube_100ntu,t303_turbidity_wet,t304_turbidity_dry,t305b_flow_how_many_months,avg_users,t311_wpt_pass,t008_country,month,year,t005_today
"10141003","ZMB1_2","Yes",.s,"No",,,,.s,.s,.s,.s,,,"Malawi",1,2014,24jan2014
"10142001","ZMB1_2","Yes",,.s,,,,.s,.s,.s,.s,,,"Malawi",1,2014,28jan2014
"10142002","ZMB1_2","Yes",.s,.s,,,"Yes",.s,"Tea With Milk","Tea With No Milk",.s,,,"Malawi",1,2014,28jan2014
"10142003","ZMB1_2","Yes",,.s,,,,.s,.s,.s,.s,,,"Malawi",1,2014,28jan2014
"10142003","ZMB1_2","Yes",.s,.s,,,"Yes",.s,"Tea With Milk","Tea With Milk",.s,,,"Malawi",1,2014,28jan2014
"10142004","ZMB1_2","Yes",,.s,,,,.s,.s,.s,.s,,,"Malawi",1,2014,28jan2014
"10142005","ZMB1_2","Yes",,,,,,.s,.s,.s,.s,,,"Malawi",1,2014,28jan2014
"10143001","ZMB2",,.s,.s,,,"Yes",.s,"Clear","Clear",.s,,"Yes","Malawi",1,2014,28jan2014
"10143002","ZMB2",,.s,.s,,,"Yes",.s,"Clear","Clear",.s,,"Yes","Malawi",1,2014,28jan2014
"10143003","ZMB2",,.s,.s,,,"Yes",.s,"Clear","Clear",.s,,"Yes","Malawi",1,2014,28jan2014
"10143004","ZMB1_2","Yes",,.s,,,,.s,.s,.s,.s,,,"Malawi",1,2014,28jan2014
"10144001","ZMB1_2","Yes",.s,.s,,,"No",.s,.s,.s,.s,,,"Malawi",1,2014,28jan2014
"10145001","ZMB2",,.s,.s,,,"Yes",.s,"Clear","Clear",.s,,"Yes","Malawi",1,2014,28jan2014
"10146001","ZMB2",,.s,.s,,,"Yes",.s,"Clear","Clear",.s,,"Yes","Malawi",1,2014,29jan2014
"10147001","ZMB2",,.s,.s,,,"Yes",.s,"Clear","Clear",.s,,"Yes","Malawi",1,2014,29jan2014
"10147002","ZMB2",,.s,.s,,,"Yes",.s,"Clear","Clear",.s,,"Yes","Malawi",1,2014,29jan2014
"10148001","ZMB2",,.s,.s,,,"Yes",.s,"Clear","Clear",.s,,"Yes","Malawi",1,2014,28jan2014
"10149003","ZMB2",,.s,.s,,,"Yes",.s,"Clear","Clear",.s,,"Yes","Malawi",1,2014,30jan2014
"10151001","ZMB1_2","Yes",.s,.s,,,"Yes",.s,"Tea With Milk","Clear",.s,,,"Malawi",1,2014,29jan2014
"10152002","ZMB2",,.s,.s,,,"Yes",.s,"Clear","Clear",.s,,"Yes","Malawi",1,2014,29jan2014
"10153001","ZMB2",,.s,.s,,,"Yes",.s,"Clear","Clear",.s,,"Yes","Malawi",1,2014,24jan2014
"10153002","ZMB2",,.s,.s,,,"Yes",.s,"Clear","Clear",.s,,"Yes","Malawi",1,2014,27jan2014
"10153003","ZMB1_2","Yes",.s,"Yes",,,"Yes",.s,"Tea With Milk","Tea With Milk",.s,,,"Malawi",1,2014,28jan2014
"10153004","ZMB2",,.s,"Yes",,,"Yes",.s,"Tea With No Milk","Clear",.s,,"Yes","Malawi",1,2014,28jan2014
"10154001","ZMB2",,.s,.s,,,"Yes",.s,"Clear","Clear",.s,,"Yes","Malawi",1,2014,29jan2014
"10154002","ZMB1_2","Yes",.s,.s,,,"Yes",.s,"Tea With Milk","Tea With Milk",.s,,,"Malawi",1,2014,29jan2014
"10154003","ZMB1_2","Yes",.s,.s,,,"Yes",.s,"Tea With Milk","Clear",.s,,,"Malawi",1,2014,29jan2014
"10155001","ZMB1_2","Yes",.s,"Yes",,,"Yes",.s,"Tea With Milk","Clear",.s,,,"Malawi",1,2014,27jan2014
"10155002","ZMB1_2","Yes",.s,"Yes",,,"Yes",.s,"Tea With Milk","Clear",.s,,,"Malawi",1,2014,27jan2014
"10155003","ZMB2",,.s,"Yes",,,"Yes",.s,"Clear","Clear",.s,,"Yes","Malawi",1,2014,27jan2014
"10156001","ZMB2",,.s,.s,,,"Yes",.s,"Clear","Clear",.s,,"Yes","Malawi",1,2014,25jan2014
"10156002","ZMB1_2",,.s,"Yes",,,"Yes",.s,"Clear","Clear",.s,,"Yes","Malawi",1,2014,26jan2014
"10156003","ZMB2",,.s,"Yes",,,"Yes",.s,"Clear","Clear",9,,"Yes","Malawi",1,2014,26jan2014
"10156004","ZMB1_2",,.s,"Yes",,,"Yes",.s,"Clear","Clear",10,,"Yes","Malawi",1,2014,26jan2014
"10157001","ZMB2",,.s,.s,,,"Yes",.s,"Clear","Clear",.s,,"Yes","Malawi",1,2014,28jan2014
"10157002","ZMB2",,.s,.s,,,"Yes",.s,"Clear","Clear",.s,,"Yes","Malawi",1,2014,28jan2014
"10157003","ZMB2",,.s,.s,,,"Yes",.s,"Clear","Clear",.s,,"Yes","Malawi",1,2014,28jan2014
"10158001","ZMB2",,.s,"Yes",,,"Yes",.s,"Tea With No Milk","Clear",.s,,"Yes","Malawi",1,2014,28jan2014
"10158002","ZMB1_2","Yes",.s,"Yes",,,"Yes",.s,"Tea With Milk","Clear",.s,,,"Malawi",1,2014,28jan2014
"10158003","ZMB2",,.s,.s,,,"Yes",.s,"Clear","Clear",.s,,"Yes","Malawi",1,2014,28jan2014
"10159001","ZMB1_2","Yes",.s,.s,,,"Yes",.s,"Tea With Milk","Tea With No Milk",.s,,,"Malawi",1,2014,28jan2014
"10159801","ZMB2",,.s,.s,,,"Yes",.s,"Clear","Clear",12,,"Yes","Malawi",1,2014,24jan2014
"10160001","ZMB2",,.s,.s,,,"Yes",.s,"Clear","Clear",.s,,"Yes","Malawi",1,2014,28jan2014
"10161001","ZMB2",,.s,.s,,,"Yes",.s,"Clear","Clear",.s,,"Yes","Malawi",1,2013,01jan2013
"10161002","ZMB2",,.s,.s,,,"Yes",.s,"Clear","Clear",.s,,"Yes","Malawi",1,2014,27jan2014
"10161003","ZMB2",,.s,.s,,,"Yes",.s,"Clear","Clear",.s,,"Yes","Malawi",1,2014,28jan2014
"10161004","ZMB1_2","No",.s,.s,,,"No",.s,.s,.s,.s,,,"Malawi",1,2014,28jan2014
"10161005","ZMB1_2","Don't know",,.s,,,,.s,.s,.s,.s,,,"Malawi",1,2014,28jan2014
"10161007","ZMB2",,.s,"Yes",,,"Yes",.s,"Clear","Clear",.s,,"Yes","Malawi",1,2014,28jan2014
"10161008","ZMB2",,.s,"Yes",,,"Yes",.s,"Clear","Clear",.s,,"Yes","Malawi",1,2014,29jan2014
"10161009","ZMB2",,.s,.s,,,"Yes",.s,"Clear","Clear",.s,,"Yes","Malawi",1,2014,29jan2014
"10161010","ZMB2",,.s,.s,,,"Yes",.s,"Clear","Clear",.s,,"Yes","Malawi",1,2014,28jan2014
"10161011","ZMB1_2","Yes",,,,,,.s,.s,.s,.s,,,"Malawi",1,2014,28jan2014
"10161012","ZMB2",,.s,.s,,,"Yes",.s,"Clear","Clear",.s,,"Yes","Malawi",1,2014,28jan2014
"10161014","ZMB2",,.s,.s,,,"Yes",.s,"Clear","Clear",.s,,"Yes","Malawi",1,2014,29jan2014
"10163001","ZMB1_2",,.s,.s,,,"Yes",.s,"Clear","Clear",.s,,"Yes","Malawi",1,2014,27jan2014
"10163003","ZMB2",,.s,.s,,,"Yes",.s,"Clear","Clear",.s,,"Yes","Malawi",1,2014,28jan2014
"101649003","ZMB1_2","Yes",.s,.s,,,"Yes",.s,"Tea With Milk","Clear",.s,,,"Malawi",11,2013,21nov2013
"10167001","ZMB1_2",,.s,.s,,,"Yes",.s,"Clear","Clear",.s,,"Yes","Malawi",1,2014,27jan2014
"10167001","ZMB2",,.s,.s,,,"Yes",.s,"Clear","Clear",.s,,"Yes","Malawi",1,2014,28jan2014
"10169005","ZMB1_2",,.s,.s,,,"Yes",.s,"Clear","Clear",.s,,"Yes","Malawi",1,2014,28jan2014
"10170001","ZMB3",.s,"Yes",.s,,,"Yes",.s,"Clear","Clear",.s,46.66667,"Yes","Malawi",7,2014,31jul2014
"10174001","ZMB3","No",.s,.s,,,"Yes",.s,"Tea With Milk","Tea With Milk",.s,,,"Malawi",8,2014,08aug2014
"10176100","ZMB3",.s,.s,.s,,,"Yes",.s,"Clear","Clear",.s,36,"Yes","Malawi",8,2014,01aug2014
"10177200","ZMB3",.s,.s,.s,,,"Yes",.s,"Clear","Clear",10,112,"Yes","Malawi",8,2014,04aug2014
"10177300","ZMB3",.s,.s,.s,,,"Yes",.s,"Clear","Clear",.s,400,"Yes","Malawi",8,2014,04aug2014
"10178100","ZMB3","No",.s,.s,,,"Yes",.s,"Tea With Milk","Clear",.s,,,"Malawi",8,2014,06aug2014
"10180001","ZMB3",.s,.s,"Yes",,,"Yes",.s,"Clear","Clear",.s,146.6667,"Yes","Malawi",8,2014,08aug2014
"10180002","ZMB3",.s,.s,.s,,,"Yes",.s,"Clear","Clear",.s,223.3333,"Yes","Malawi",8,2014,08aug2014
"10181001","ZMB3",.s,.s,.s,,,"Yes",.s,"Clear","Clear",.s,234,"Yes","Malawi",8,2014,08aug2014
"10182001","ZMB3",.s,.s,.s,,,"Yes",.s,"Clear","Clear",.s,79.66666,"Yes","Malawi",8,2014,08aug2014
"10183001","ZMB3",.s,.s,.s,,,"Yes",.s,"Clear","Clear",.s,116.6667,"Yes","Malawi",8,2014,08aug2014
"10185001","ZMB3",.s,"Yes",.s,,,"Yes",.s,"Clear","Clear",.s,66.66666,"Yes","Malawi",8,2014,07aug2014
"10185001","ZMB3",.s,"Yes",.s,,,"Yes",.s,"Clear","Clear",.s,96.66666,"Yes","Malawi",8,2014,07aug2014
"10187001","ZMB3",.s,"Yes",.s,,,"Yes",.s,"Clear","Clear",.s,76.66666,"Yes","Malawi",8,2014,07aug2014
"10188001","ZMB3",.s,"Yes",.s,,,"Yes",.s,"Clear","Clear",.s,146.6667,"Yes","Malawi",8,2014,07aug2014
"10189001","ZMB3",.s,.s,.s,,,"Yes",.s,"Clear","Clear",.s,67.33334,"Yes","Malawi",8,2014,01aug2014
"10190001","ZMB3",.s,.s,.s,,,"Yes",.s,"Clear","Clear",.s,190,"Yes","Malawi",8,2014,06aug2014
"10191001","ZMB3",.s,"Yes",.s,,,"Yes",.s,"Clear","Clear",.s,391.3333,"Yes","Malawi",8,2014,07aug2014
"10193000","ZMB3",.s,"Yes",.s,,,"Yes",.s,"Clear","Clear",.s,183.3333,"Yes","Malawi",8,2014,07aug2014
"10194000","ZMB3",.s,"Yes",.s,,,"Yes",.s,"Clear","Clear",.s,45.83333,"Yes","Malawi",8,2014,08aug2014
"10194000","ZMB3","Yes","No",,,,,.s,.s,.s,.s,,,"Malawi",8,2014,07aug2014
"10194000","ZMB3","Yes","No",.s,,,,.s,.s,.s,.s,,,"Malawi",8,2014,08aug2014
"10194000","ZMB3","Yes","No",,,,,.s,.s,.s,.s,,,"Malawi",8,2014,08aug2014
"10196001","ZMB3",.s,"Yes",.s,,,"Yes",.s,"Clear","Clear",.s,76.66666,"Yes","Malawi",1,2012,01jan2012
"10196002","ZMB3",.s,"Yes",.s,,,"Yes",.s,"Clear","Clear",.s,56.66667,"Yes","Malawi",1,2012,01jan2012
"10198001","ZMB3",.s,"Yes",.s,,,"Yes",.s,"Clear","Clear",.s,93.33334,"Yes","Malawi",1,2012,01jan2012
"10198001","ZMB3",.s,"Yes",.s,,,"Yes",.s,"Clear","Clear",.s,73.33334,"Yes","Malawi",1,2012,01jan2012
"10198003","ZMB3",.s,"Yes","Yes",,,"Yes",.s,"Clear","Clear",.s,46.66667,"Yes","Malawi",1,2012,01jan2012
"10201001","ZMB3",.s,.s,.s,,,"Yes",.s,"Clear","Clear",.s,55.83333,"Yes","Malawi",8,2014,08aug2014
"10203001","ZMB3",.s,.s,.s,,,"Yes",.s,"Clear","Clear",.s,95,"Yes","Malawi",8,2014,04aug2014
"10203002","ZMB3",.s,.s,.s,,,"Yes",.s,"Clear","Clear",.s,45,"Yes","Malawi",8,2014,05aug2014
"10203003","ZMB3",.s,.s,.s,,,"Yes",.s,"Clear","Clear",.s,42.66667,"Yes","Malawi",8,2014,05aug2014
"10203004","ZMB3",.s,.s,.s,,,"Yes",.s,"Clear","Clear",.s,22.66667,"Yes","Malawi",8,2014,07aug2014
"10203005","ZMB3",.s,.s,.s,,,"Yes",.s,"Clear","Clear",.s,42,"Yes","Malawi",8,2014,07aug2014
"10203006","ZMB3",.s,.s,.s,,,"Yes",.s,"Clear","Clear",.s,70,"Yes","Malawi",8,2014,07aug2014
"10203007","ZMB3",.s,.s,.s,,,"Yes",.s,"Clear","Clear",.s,50.66667,"Yes","Malawi",8,2014,07aug2014
"10204001","ZMB3",.s,.s,.s,,,"Yes",.s,"Clear","Clear",.s,196.6667,"Yes","Malawi",8,2014,03aug2014
"10205001","ZMB3",.s,.s,.s,,,"Yes",.s,"Clear","Clear",.s,55,"Yes","Malawi",8,2014,06aug2014
"10205002","ZMB3",.s,.s,.s,,,"Yes",.s,"Clear","Clear",.s,33.33333,"Yes","Malawi",8,2014,06aug2014
"10205003","ZMB3",.s,.s,.s,,,"Yes",.s,"Clear","Clear",.s,25.83333,"Yes","Malawi",8,2014,06aug2014
"10205004","ZMB3",.s,.s,.s,,,"Yes",.s,"Clear","Clear",.s,31.66667,"Yes","Malawi",8,2014,07aug2014
"10206001","ZMB3",.s,.s,.s,,,"Yes",.s,"Clear","Clear",.s,49.33333,"Yes","Malawi",8,2014,07aug2014
"10206002","ZMB3","No",.s,.s,,,"Yes",.s,"Tea With Milk","Tea With Milk",.s,,,"Malawi",8,2014,07aug2014
"10207001","ZMB3",.s,.s,.s,,,"Yes",.s,"Clear","Clear",.s,53.33333,"Yes","Malawi",8,2014,08aug2014
"10209001","ZMB3",.s,.s,.s,,,"Yes",.s,"Clear","Clear",.s,170,"Yes","Malawi",8,2014,06aug2014
