id,program,i102_wpt_id,total_chl_used,total_period_day,total_period_30day,avrg_30day_usage,avrg_30day_usage_litres,num_of_Deliveries,Jerrican_delivered,date_of_first_delivery,date_of_last_delivery,month,year,country
,Zomba 3,80020314,23,474,15.8,1.455696,7.278481,7,27,18-Feb-16,06-Jun-17,6,2017,3
,Zomba 3,80020315,12,637,21.23333,0.5651491,2.825746,6,16,25-Sep-15,23-Jun-17,6,2017,3
,Zomba 3,80020316,25,700,23.33333,1.071429,5.357142,14,28,28-Sep-15,28-Aug-17,8,2017,3
,Zomba 3,80020317,44,671,22.36667,1.967213,9.836065,21,50,22-Sep-15,03-Jul-17,7,2017,3
,Zomba 3,80020318,22,667,22.23333,0.9895052,4.947526,10,26,29-Sep-15,27-Jul-17,7,2017,3
,Zomba 3,80020319,14,653,21.76667,0.6431853,3.215927,9,15,17-Sep-15,01-Jul-17,7,2017,3
,Zomba 3,80020320,33,560,18.66667,1.767857,8.839286,18,37,26-Feb-16,11-Aug-17,8,2017,3
,Zomba 3,80020321,14,632,21.06667,0.6645569,3.322785,6,18,29-Sep-15,22-Jun-17,6,2017,3
,Zomba 3,80020322,30.5,662,22.06667,1.382175,6.910876,14,35,21-Sep-15,13-Jul-17,7,2017,3
,Zomba 3,80020323,15,667,22.23333,0.6746626,3.373313,7,17,21-Sep-15,19-Jul-17,7,2017,3
,Zomba 3,80020324,21,649,21.63333,0.9707242,4.853621,10,24,24-Sep-15,04-Jul-17,7,2017,3
,Zomba 3,80020325,31,700,23.33333,1.328571,6.642857,16,34,21-Sep-15,21-Aug-17,8,2017,3
,Zomba 3,80020326,10,613,20.43333,0.4893964,2.446982,5,12,21-Sep-15,26may2017,5,2017,3
,Zomba 3,80020328,8,396,13.2,0.6060606,3.030303,6,12,29mar2016,27-Apr-17,4,2017,3
,Zomba 3,80020329,30,476,15.86667,1.890756,9.453781,10,34,15mar2016,04-Jul-17,7,2017,3
,Zomba 3,80020330,12,447,14.9,0.8053691,4.026846,5,16,16-Feb-16,08may2017,5,2017,3
,Zomba 3,80020331,4,263,8.766666,0.4562738,2.281369,3,8,08-Aug-16,28-Apr-17,4,2017,3
,Zomba 3,80020332,5,309,10.3,0.4854369,2.427184,3,7,16-Feb-16,21dec2016,12,2016,3
,Zomba 3,80020333,31,466,15.53333,1.995708,9.97854,15,40,18-Feb-16,18may2017,5,2017,3
,Zomba 3,80020334,13,512,17.06667,0.7617187,3.808594,7,16,21mar2016,15-Aug-17,8,2017,3
,Zomba 3,80020335,12,474,15.8,0.7594936,3.797468,5,16,01-Apr-16,19-Jul-17,7,2017,3
,Zomba 3,80020336,24,524,17.46667,1.374046,6.870229,8,28,24-Feb-16,01-Aug-17,8,2017,3
,Zomba 3,80020337,13,470,15.66667,0.8297872,4.148936,5,17,21mar2016,04-Jul-17,7,2017,3
,Zomba 3,80020338,12,363,12.1,0.9917355,4.958678,4,16,18mar2016,16mar2017,3,2017,3
,Zomba 3,80020339,10,323,10.76667,0.9287926,4.643963,7,15,04-Jul-16,23may2017,5,2017,3
,Zomba 3,80020340,4,157,5.233333,0.7643312,3.821656,2,8,20mar2017,24-Aug-17,8,2017,3
,Zomba 3,80020341,8,446,14.86667,0.5381166,2.690583,4,14,17-Feb-16,08may2017,5,2017,3
,Zomba 3,80020342,20,679,22.63333,0.8836524,4.418262,10,26,23-Sep-15,21-Jul-17,7,2017,3
,Zomba 3,80020343,28,685,22.83333,1.226277,6.131387,12,32,15-Sep-15,31-Jul-17,7,2017,3
,Zomba 3,80020344,19,496,16.53333,1.149194,5.745968,10,27,18-Feb-16,12-Jun-17,6,2017,3
,Zomba 3,80020345,32,719,23.96667,1.335188,6.675939,18,40,28-Sep-15,07-Aug-17,8,2017,3
,Zomba 3,80020346,12,671,22.36667,0.5365127,2.682563,9,18,21-Sep-15,25-Jul-17,7,2017,3
,Zomba 3,80020347,10,280,9.333333,1.071429,5.357143,4,14,31-Aug-16,07-Jun-17,6,2017,3
,Zomba 3,80020348,19,509,16.96667,1.119843,5.599214,8,23,17-Feb-16,10-Jul-17,7,2017,3
,Zomba 3,80020349,16,520,17.33333,0.9230769,4.615384,7,20,16-Feb-16,20-Jul-17,7,2017,3
,Zomba 3,80020350,28,528,17.6,1.590909,7.954545,12,32,29-Feb-16,10-Aug-17,8,2017,3
,Zomba 3,80020351,2,357,11.9,0.1680672,0.8403361,2,4,13may2016,05may2017,5,2017,3
