ID,vcs201_attendees_total,vcs011_prgrm,month,year,country
,24,SRK,10,2014,2
,26,SRK,10,2014,2
,23,SRK,10,2014,2
,17,SRK,10,2014,2
,62,SRK,10,2014,2
,23,SRK,10,2014,2
,29,SRK,10,2014,2
,48,SRK,10,2014,2
,24,SRK,10,2014,2
,24,SRK,10,2014,2
,22,SRK,10,2014,2
,41,SRK,10,2014,2
,68,SRK,10,2014,2
,32,SRK,10,2014,2
,30,SRK,10,2014,2
,26,SRK,10,2014,2
,42,SRK,10,2014,2
,35,SRK,10,2014,2
,29,SRK,10,2014,2
,37,SRK,10,2014,2
,24,SRK,10,2014,2
,24,SRK,10,2014,2
,47,SRK,10,2014,2
,40,SRK,10,2014,2
,36,SRK,10,2014,2
,24,SRK,10,2014,2
,38,SRK,10,2014,2
,30,SRK,10,2014,2
,35,SRK,10,2014,2
,30,SRK,10,2014,2
,33,SRK,10,2014,2
,32,SRK,10,2014,2
,45,SRK,10,2014,2
,40,SRK,10,2014,2
,33,SRK,10,2014,2
,38,SRK,10,2014,2
,29,SRK,10,2014,2
,35,SRK,10,2014,2
,35,SRK,10,2014,2
,31,SRK,10,2014,2
,47,SRK,10,2014,2
,42,SRK,10,2014,2
,42,SRK,10,2014,2
,36,SRK,10,2014,2
,66,SRK,10,2014,2
,37,SRK,10,2014,2
,23,SRK,10,2014,2
,25,SRK,10,2014,2
,31,SRK,10,2014,2
,32,SRK,10,2014,2
,38,SRK,10,2014,2
,22,SRK,10,2014,2
,35,SRK,10,2014,2
,38,SRK,10,2014,2
,37,SRK,10,2014,2
,37,SRK,10,2014,2
,21,SRK,10,2014,2
,28,SRK,10,2014,2
,36,SRK,10,2014,2
,49,SRK,10,2014,2
,50,MBL,10,2014,2
,39,SRK,10,2014,2
,86,MBL,10,2014,2
,49,MBL,10,2014,2
,34,MBL,10,2014,2
,23,MBL,10,2014,2
,18,MBL,10,2014,2
,53,MBL,10,2014,2
,23,MBL,10,2014,2
,26,MBL,10,2014,2
,42,MBL,10,2014,2
,19,MBL,10,2014,2
,38,MBL,10,2014,2
,22,MBL,10,2014,2
,40,MBL,10,2014,2
,29,MBL,10,2014,2
,31,MBL,10,2014,2
,26,MBL,10,2014,2
,35,MBL,10,2014,2
,35,MBL,10,2014,2
,24,MBL,10,2014,2
,68,MBL,10,2014,2
,21,MBL,10,2014,2
,41,MBL,10,2014,2
,37,MBL,10,2014,2
,40,MBL,10,2014,2
,35,MBL,10,2014,2
,24,MBL,10,2014,2
,48,MBL,10,2014,2
,27,MBL,10,2014,2
,65,MBL,10,2014,2
,70,MBL,10,2014,2
,36,MBL,10,2014,2
,45,MBL,10,2014,2
,33,MBL,10,2014,2
,31,MBL,10,2014,2
,36,MBL,10,2014,2
,20,MBL,10,2014,2
,52,MBL,10,2014,2
,86,MBL,10,2014,2
