ID,vcs201_attendees_total,vcs011_prgrm,year,vcs009_country,vcs014_mtg_date
,68,Manafwa,2014,Uganda,17-Dec-13
,73,Manafwa,2014,Uganda,17-Dec-13
,80,Manafwa,2014,Uganda,17-Dec-13
,80,Manafwa,2014,Uganda,17-Dec-13
,37,Manafwa,2014,Uganda,17-Dec-13
,98,Manafwa,2014,Uganda,17-Dec-13
,36,Manafwa,2014,Uganda,17-Dec-13
,34,Manafwa,2014,Uganda,17-Dec-13
,102,Manafwa,2014,Uganda,17-Dec-13
,34,Manafwa,2014,Uganda,18-Dec-13
,49,Manafwa,2014,Uganda,18-Dec-13
,49,Manafwa,2014,Uganda,18-Dec-13
,82,Manafwa,2014,Uganda,18-Dec-13
,72,Manafwa,2014,Uganda,18-Dec-13
,52,Manafwa,2014,Uganda,18-Dec-13
,48,Manafwa,2014,Uganda,18-Dec-13
,76,Manafwa,2014,Uganda,18-Dec-13
,59,Manafwa,2014,Uganda,18-Dec-13
,55,Manafwa,2014,Uganda,18-Dec-13
,73,Manafwa,2014,Uganda,18-Dec-13
,53,Manafwa,2014,Uganda,18-Dec-13
,68,Manafwa,2014,Uganda,18-Dec-13
,66,Manafwa,2014,Uganda,18-Dec-13
,27,Manafwa,2014,Uganda,18-Dec-13
,39,Manafwa,2014,Uganda,19-Dec-13
,56,Manafwa,2014,Uganda,19-Dec-13
,63,Manafwa,2014,Uganda,19-Dec-13
,36,Manafwa,2014,Uganda,19-Dec-13
,45,Manafwa,2014,Uganda,19-Dec-13
,40,Manafwa,2014,Uganda,19-Dec-13
,43,Manafwa,2014,Uganda,19-Dec-13
,79,Manafwa,2014,Uganda,19-Dec-13
,60,Manafwa,2014,Uganda,19-Dec-13
,57,Manafwa,2014,Uganda,19-Dec-13
,38,Manafwa,2014,Uganda,19-Dec-13
,125,Manafwa,2014,Uganda,19-Dec-13
,37,Manafwa,2014,Uganda,19-Dec-13
,42,Manafwa,2014,Uganda,19-Dec-13
,71,Manafwa,2014,Uganda,19-Dec-13
,78,Manafwa,2014,Uganda,21-Dec-13
,96,Manafwa,2014,Uganda,22-Dec-13
,61,Manafwa,2014,Uganda,08-Jan-14
,32,Manafwa,2014,Uganda,08-Jan-14
,69,Manafwa,2014,Uganda,08-Jan-14
,44,Manafwa,2014,Uganda,08-Jan-14
,52,Manafwa,2014,Uganda,08-Jan-14
,62,Manafwa,2014,Uganda,08-Jan-14
,61,Manafwa,2014,Uganda,09-Jan-14
,37,Manafwa,2014,Uganda,09-Jan-14
,100,Manafwa,2014,Uganda,09-Jan-14
,74,Manafwa,2014,Uganda,09-Jan-14
,47,Manafwa,2014,Uganda,09-Jan-14
,48,Manafwa,2014,Uganda,09-Jan-14
,48,Manafwa,2014,Uganda,09-Jan-14
,49,Manafwa,2014,Uganda,09-Jan-14
,63,Manafwa,2014,Uganda,09-Jan-14
,27,Manafwa,2014,Uganda,09-Jan-14
,81,Manafwa,2014,Uganda,09-Jan-14
,45,Manafwa,2014,Uganda,09-Jan-14
,25,Manafwa,2014,Uganda,10-Jan-14
,49,Manafwa,2014,Uganda,10-Jan-14
,49,Manafwa,2014,Uganda,10-Jan-14
,53,Manafwa,2014,Uganda,10-Jan-14
,49,Manafwa,2014,Uganda,10-Jan-14
,34,Manafwa,2014,Uganda,10-Jan-14
,41,Manafwa,2014,Uganda,10-Jan-14
,30,Manafwa,2014,Uganda,11-Jan-14
,32,Manafwa,2014,Uganda,11-Jan-14
,42,Manafwa,2014,Uganda,11-Jan-14
,35,Manafwa,2014,Uganda,11-Jan-14
,53,Manafwa,2014,Uganda,11-Jan-14
,97,Manafwa,2014,Uganda,13-Jan-14
,30,Manafwa,2014,Uganda,13-Jan-14
,31,Manafwa,2014,Uganda,21-Jan-14
,33,Manafwa,2014,Uganda,21-Jan-14
,40,Manafwa,2014,Uganda,21-Jan-14
,42,Manafwa,2014,Uganda,21-Jan-14
,39,Manafwa,2014,Uganda,21-Jan-14
,38,Manafwa,2014,Uganda,21-Jan-14
,85,Manafwa,2014,Uganda,21-Jan-14
,999,Manafwa,2014,Uganda,21-Jan-14
,36,Manafwa,2014,Uganda,21-Jan-14
,50,Manafwa,2014,Uganda,21-Jan-14
,83,Manafwa,2014,Uganda,21-Jan-14
,31,Manafwa,2014,Uganda,21-Jan-14
,34,Manafwa,2014,Uganda,21-Jan-14
,50,Manafwa,2014,Uganda,21-Jan-14
,43,Manafwa,2014,Uganda,21-Jan-14
,53,Manafwa,2014,Uganda,21-Jan-14
,28,Manafwa,2014,Uganda,21-Jan-14
,34,Manafwa,2014,Uganda,21-Jan-14
,74,Manafwa,2014,Uganda,21-Jan-14
,51,Manafwa,2014,Uganda,21-Jan-14
,61,Manafwa,2014,Uganda,21-Jan-14
,35,Manafwa,2014,Uganda,21-Jan-14
,52,Manafwa,2014,Uganda,21-Jan-14
,26,Manafwa,2014,Uganda,21-Jan-14
,49,Manafwa,2014,Uganda,21-Jan-14
,49,Manafwa,2014,Uganda,21-Jan-14
,35,Manafwa,2014,Uganda,21-Jan-14
,98,Manafwa,2014,Uganda,21-Jan-14
,70,Manafwa,2014,Uganda,21-Jan-14
,48,Manafwa,2014,Uganda,21-Jan-14
,50,Manafwa,2014,Uganda,21-Jan-14
,48,Manafwa,2014,Uganda,21-Jan-14
,49,Manafwa,2014,Uganda,21-Jan-14
,45,Manafwa,2014,Uganda,21-Jan-14
,74,Manafwa,2014,Uganda,21-Jan-14
,53,Manafwa,2014,Uganda,21-Jan-14
,36,Manafwa,2014,Uganda,21-Jan-14
,71,Manafwa,2014,Uganda,21-Jan-14
,64,Manafwa,2014,Uganda,21-Jan-14
,36,Manafwa,2014,Uganda,21-Jan-14
,55,Manafwa,2014,Uganda,21-Jan-14
,55,Manafwa,2014,Uganda,21-Jan-14
,29,Manafwa,2014,Uganda,21-Jan-14
,36,Manafwa,2014,Uganda,21-Jan-14
,45,Manafwa,2014,Uganda,21-Jan-14
,54,Manafwa,2014,Uganda,21-Jan-14
,113,Manafwa,2014,Uganda,21-Jan-14
,114,Manafwa,2014,Uganda,21-Jan-14
,55,Manafwa,2014,Uganda,21-Jan-14
,34,Manafwa,2014,Uganda,21-Jan-14
,33,Manafwa,2014,Uganda,21-Jan-14
,33,Manafwa,2014,Uganda,21-Jan-14
