ID,cem301_attendees_total,month,year,country
,39,1,2014,2
,53,1,2014,2
,74,1,2014,2
,40,1,2014,2
,58,1,2014,2
,50,1,2014,2
,76,1,2014,2
,57,1,2014,2
,49,1,2014,2
,109,1,2014,2
,40,1,2014,2
,47,1,2014,2
,47,1,2014,2
,82,1,2014,2
,40,1,2014,2
,40,1,2014,2
,53,1,2014,2
,112,1,2014,2
,44,1,2014,2
,90,1,2014,2
,35,1,2014,2
,14,1,2014,2
,57,1,2014,2
,70,1,2014,2
,35,1,2014,2
,77,1,2014,2
,66,1,2014,2
,152,2,2014,2
,69,2,2014,2
,51,2,2014,2
,69,2,2014,2
,52,2,2014,2
,35,2,2014,2
,40,2,2014,2
,58,2,2014,2
,20,2,2014,2
,20,2,2014,2
,40,2,2014,2
,73,2,2014,2
,121,2,2014,2
,66,2,2014,2
,28,2,2014,2
,85,2,2014,2
,180,2,2014,2
,44,2,2014,2
,38,2,2014,2
,135,2,2014,2
,97,2,2014,2
,119,2,2014,2
,106,2,2014,2
,36,2,2014,2
,32,2,2014,2
,17,2,2014,2
,64,2,2014,2
,60,2,2014,2
,55,2,2014,2
,50,2,2014,2
,88,2,2014,2
,58,2,2014,2
,40,2,2014,2
,45,2,2014,2
,48,2,2014,2
,30,2,2014,2
,72,2,2014,2
,173,2,2014,2
,60,2,2014,2
,53,2,2014,2
,35,2,2014,2
,102,2,2014,2
,65,2,2014,2
,108,2,2014,2
,68,2,2014,2
,87,2,2014,2
,77,2,2014,2
,54,2,2014,2
,23,2,2014,2
,84,2,2014,2
,86,2,2014,2
,86,2,2014,2
,120,2,2014,2
,92,2,2014,2
,69,2,2014,2
,50,2,2014,2
,52,2,2014,2
,85,2,2014,2
,96,2,2014,2
,56,2,2014,2
,55,2,2014,2
,40,2,2014,2
,68,2,2014,2
,42,2,2014,2
,101,2,2014,2
,61,2,2014,2
,35,2,2014,2
,62,2,2014,2
,83,2,2014,2
,56,2,2014,2
,40,2,2014,2
,79,2,2014,2
,41,2,2014,2
,57,2,2014,2
,33,2,2014,2
,38,2,2014,2
,31,2,2014,2
,60,2,2014,2
,86,2,2014,2
,108,2,2014,2
,70,2,2014,2
,73,2,2014,2
,62,2,2014,2
,44,2,2014,2
,60,2,2014,2
,65,2,2014,2
,34,2,2014,2
,48,2,2014,2
,84,2,2014,2
,76,2,2014,2
,34,2,2014,2
,38,2,2014,2
,75,2,2014,2
,111,2,2014,2
,50,2,2014,2
,55,2,2014,2
,101,2,2014,2
,69,2,2014,2
,50,2,2014,2
,52,2,2014,2
,84,2,2014,2
,49,2,2014,2
,52,2,2014,2
,80,2,2014,2
,58,2,2014,2
,50,2,2014,2
,45,2,2014,2
,17,2,2014,2
,77,2,2014,2
,46,2,2014,2
,33,2,2014,2
,32,2,2014,2
,42,2,2014,2
,65,2,2014,2
,49,2,2014,2
,50,2,2014,2
,61,2,2014,2
,38,2,2014,2
,55,2,2014,2
,32,2,2014,2
,72,2,2014,2
,68,2,2014,2
,56,2,2014,2
,62,2,2014,2
,53,2,2014,2
,92,2,2014,2
,42,2,2014,2
,62,2,2014,2
,41,2,2014,2
,59,2,2014,2
,61,2,2014,2
,32,2,2014,2
,24,2,2014,2
,40,2,2014,2
,37,2,2014,2
,54,2,2014,2
,68,2,2014,2
,72,2,2014,2
,64,2,2014,2
,65,2,2014,2
,75,2,2014,2
,69,2,2014,2
,51,2,2014,2
,80,2,2014,2
,41,2,2014,2
,74,2,2014,2
,78,2,2014,2
,79,2,2014,2
,78,2,2014,2
,72,2,2014,2
,81,2,2014,2
,85,2,2014,2
,68,2,2014,2
,49,2,2014,2
,58,2,2014,2
,56,2,2014,2
,49,2,2014,2
,39,2,2014,2
,46,2,2014,2
,56,2,2014,2
,30,2,2014,2
,65,2,2014,2
,82,2,2014,2
,20,2,2014,2
,44,2,2014,2
,52,2,2014,2
,36,2,2014,2
,68,2,2014,2
,24,2,2014,2
,46,2,2014,2
,50,2,2014,2
,71,2,2014,2
,27,2,2014,2
,46,2,2014,2
,60,2,2014,2
,210,2,2014,2
,30,2,2014,2
,69,2,2014,2
,50,2,2014,2
,73,2,2014,2
,28,2,2014,2
,45,2,2014,2
,57,2,2014,2
,83,2,2014,2
,85,2,2014,2
,60,2,2014,2
,70,2,2014,2
,50,2,2014,2
,40,2,2014,2
,26,2,2014,2
,35,2,2014,2
,41,2,2014,2
,74,2,2014,2
,22,2,2014,2
,59,2,2014,2
,70,2,2014,2
,65,2,2014,2
,43,2,2014,2
,41,2,2014,2
,32,2,2014,2
,71,2,2014,2
,55,2,2014,2
,51,2,2014,2
,37,2,2014,2
,49,2,2014,2
,52,2,2014,2
,54,2,2014,2
,79,2,2014,2
,55,2,2014,2
,63,2,2014,2
,70,2,2014,2
,52,2,2014,2
,46,2,2014,2
,38,2,2014,2
,61,2,2014,2
,75,2,2014,2
,67,2,2014,2
,73,2,2014,2
,39,2,2014,2
,31,2,2014,2
,19,2,2014,2
,70,2,2014,2
,84,2,2014,2
,98,2,2014,2
,81,2,2014,2
,69,2,2014,2
,68,2,2014,2
,73,2,2014,2
,58,2,2014,2
,44,2,2014,2
,50,2,2014,2
,32,2,2014,2
,99,2,2014,2
,43,2,2014,2
,40,2,2014,2
,79,2,2014,2
,29,2,2014,2
,58,2,2014,2
,51,2,2014,2
,39,2,2014,2
,50,2,2014,2
,51,2,2014,2
,57,2,2014,2
,74,2,2014,2
,77,2,2014,2
,83,2,2014,2
,51,2,2014,2
,70,2,2014,2
,33,2,2014,2
,33,2,2014,2
,55,2,2014,2
,56,2,2014,2
,82,2,2014,2
,50,2,2014,2
,42,2,2014,2
,74,2,2014,2
,38,2,2014,2
,72,2,2014,2
,67,2,2014,2
,87,2,2014,2
,71,2,2014,2
,59,2,2014,2
,64,2,2014,2
,57,2,2014,2
,38,2,2014,2
,41,2,2014,2
,56,2,2014,2
,46,2,2014,2
,51,2,2014,2
,40,2,2014,2
,21,2,2014,2
,39,2,2014,2
,30,2,2014,2
,42,2,2014,2
,45,2,2014,2
,29,2,2014,2
,58,2,2014,2
,28,2,2014,2
,53,2,2014,2
,61,2,2014,2
,71,2,2014,2
,68,2,2014,2
,42,2,2014,2
,58,2,2014,2
,30,2,2014,2
,35,2,2014,2
,39,2,2014,2
,29,2,2014,2
,163,2,2014,2
,38,2,2014,2
,120,2,2014,2
,48,2,2014,2
,32,2,2014,2
,45,2,2014,2
,48,2,2014,2
,56,2,2014,2
,31,2,2014,2
,40,2,2014,2
,61,2,2014,2
,48,2,2014,2
,60,2,2014,2
,53,2,2014,2
,51,2,2014,2
