id,t011_program,t313_wpt_fail,t301b_wpt_flow_rate_slow,t302_landowner_personality,t302a_rep_wsb_talkedto,t302b_rep_wsb_accepted_disp,t310_wpt_drinking_water,t303b_turbitube_100ntu,t303_turbidity_wet,t304_turbidity_dry,t305b_flow_how_many_months,avg_users,t311_wpt_pass,t009_country,month,year,t005_today
,ZMB3,,,,1,1,1,,3,3,,166.6667,1,3,9,2014,12-Sep-14
,ZMB3,,,,1,1,1,,3,3,,49,1,3,9,2014,10-Sep-14
,ZMB3,,,,0,,1,,3,3,,11,1,3,9,2014,12-Sep-14
,ZMB3,,,,1,1,1,,3,3,,115,1,3,9,2014,12-Sep-14
,ZMB3,,,,1,1,1,,3,3,,50,1,3,9,2014,12-Sep-14
,ZMB3,,,,0,,1,,3,3,,17,1,3,9,2014,12-Sep-14
,ZMB3,,,,1,1,1,,3,3,,41,1,3,9,2014,12-Sep-14
,ZMB3,,,,0,,1,,3,3,,52.66667,1,3,9,2014,12-Sep-14
,ZMB3,,,1,,,1,,3,3,,35.41667,1,3,9,2014,12-Sep-14
,ZMB3,,,,1,1,1,,3,3,,20,1,3,9,2014,12-Sep-14
,ZMB3,,,1,,,1,,3,3,,71.66666,1,3,9,2014,12-Sep-14
,ZMB3,,,,1,1,1,,3,3,,43,1,3,9,2014,11-Sep-14
,ZMB3,,,,1,1,1,,3,3,,316.6667,1,3,9,2014,10-Sep-14
,ZMB3,,1,,1,1,1,,3,3,,35,1,3,9,2014,10-Sep-14
,ZMB3,,,,1,1,1,,3,3,,235,1,3,9,2014,09-Sep-14
,ZMB3,,,,1,1,1,,3,3,,354.1667,1,3,9,2014,11-Sep-14
,ZMB3,1,1,,1,1,0,,,,,,,3,9,2014,12-Sep-14
,ZMB3,,,,1,1,1,,3,3,,210,1,3,9,2014,10-Sep-14
,ZMB3,,,1,,,1,,3,3,,76.66666,1,3,9,2014,09-Sep-14
,ZMB3,,,,1,1,1,,3,3,,140,1,3,9,2014,09-Sep-14
,ZMB3,,,,1,1,1,,3,3,,100.6667,1,3,9,2014,10-Sep-14
,ZMB3,,,1,,,1,,3,3,,27.66667,1,3,9,2014,10-Sep-14
,ZMB3,,,,1,1,1,,3,3,,143.3333,1,3,9,2014,10-Sep-14
,ZMB3,,,,1,1,1,,3,3,,50,1,3,9,2014,13-Sep-14
,ZMB3,,,,1,1,1,,3,3,,167,1,3,9,2014,12-Sep-14
,ZMB3,,,,1,1,1,,3,3,,160,1,3,9,2014,11-Sep-14
,ZMB3,,,,1,1,1,,3,3,,68,1,3,9,2014,15-Sep-14
,ZMB3,,,,1,1,1,,3,3,,43.66667,1,3,9,2014,15-Sep-14
