id,cem301_attendees_total,program,month,year,country,cem005_today
,82,Zomba 3,11,2014,3,30-Nov-14
,23,Zomba 3,11,2014,3,30-Nov-14
,21,Zomba 3,11,2014,3,30-Nov-14
,25,Zomba 3,12,2014,3,01dec2014
,40,Zomba 4,12,2014,3,01dec2014
,65,Zomba 3,12,2014,3,01dec2014
,19,Zomba 3,12,2014,3,01dec2014
,80,Zomba 3,12,2014,3,01dec2014
,30,Zomba 3,12,2014,3,01dec2014
,48,Zomba 3,12,2014,3,01dec2014
,48,Zomba 3,12,2014,3,01dec2014
,59,Zomba 3,12,2014,3,02dec2014
,40,Zomba 3,12,2014,3,02dec2014
,46,Zomba 3,12,2014,3,02dec2014
,58,Zomba 4,12,2014,3,02dec2014
,45,Zomba 3,12,2014,3,02dec2014
,60,Zomba 3,12,2014,3,02dec2014
,38,Zomba 3,12,2014,3,02dec2014
,38,Zomba 3,12,2014,3,02dec2014
,20,Zomba 3,12,2014,3,02dec2014
,50,Zomba 3,12,2014,3,02dec2014
,58,Zomba 3,12,2014,3,03dec2014
,65,Zomba 3,12,2014,3,03dec2014
,34,Zomba 3,12,2014,3,03dec2014
,28,Zomba 3,12,2014,3,03dec2014
,45,Zomba 4,12,2014,3,03dec2014
,68,Zomba 3,12,2014,3,04dec2014
,38,Zomba 3,12,2014,3,04dec2014
,50,Zomba 3,12,2014,3,04dec2014
,48,Zomba 3,12,2014,3,04dec2014
,20,Zomba 3,12,2014,3,04dec2014
,40,Zomba 3,12,2014,3,04dec2014
,23,Zomba 3,12,2014,3,04dec2014
,25,Zomba 3,12,2014,3,04dec2014
,62,Zomba 3,12,2014,3,04dec2014
,50,Zomba 3,12,2014,3,04dec2014
,64,Zomba 3,12,2014,3,04dec2014
,40,Zomba 3,12,2014,3,04dec2014
,30,Zomba 3,12,2014,3,04dec2014
,125,Zomba 3,12,2014,3,04dec2014
,30,Zomba 3,12,2014,3,04dec2014
,40,Zomba 3,12,2014,3,04dec2014
,58,Zomba 3,12,2014,3,04dec2014
,20,Zomba 4,12,2014,3,04dec2014
,35,Zomba 3,12,2014,3,04dec2014
,23,Zomba 3,12,2014,3,05dec2014
,34,Zomba 3,12,2014,3,05dec2014
,39,Zomba 3,12,2014,3,05dec2014
,27,Zomba 3,12,2014,3,05dec2014
,25,Zomba 3,12,2014,3,06dec2014
,38,Zomba 3,12,2014,3,06dec2014
,55,Zomba 3,12,2014,3,06dec2014
,67,Zomba 3,12,2014,3,06dec2014
,49,Zomba 3,12,2014,3,06dec2014
,44,Zomba 3,12,2014,3,06dec2014
,30,Zomba 3,12,2014,3,06dec2014
,35,Zomba 3,12,2014,3,08dec2014
,140,Zomba 3,12,2014,3,09dec2014
,50,Zomba 3,12,2014,3,09dec2014
,28,Zomba 3,12,2014,3,09dec2014
,30,Zomba 3,12,2014,3,09dec2014
,60,Zomba 3,12,2014,3,09dec2014
,14,Zomba 3,12,2014,3,09dec2014
,48,Zomba 3,12,2014,3,09dec2014
,45,Zomba 3,12,2014,3,09dec2014
,32,Zomba 3,12,2014,3,09dec2014
,36,Zomba 3,12,2014,3,10dec2014
,90,Zomba 3,12,2014,3,10dec2014
,15,Zomba 3,12,2014,3,10dec2014
,16,Zomba 3,12,2014,3,11dec2014
,26,Zomba 3,12,2014,3,11dec2014
,48,Zomba 3,12,2014,3,11dec2014
,42,Zomba 3,12,2014,3,11dec2014
,18,Zomba 3,12,2014,3,11dec2014
,14,Zomba 3,12,2014,3,11dec2014
,89,Zomba 3,12,2014,3,11dec2014
,52,Zomba 3,12,2014,3,11dec2014
,32,Zomba 3,12,2014,3,11dec2014
,24,Zomba 3,12,2014,3,11dec2014
,36,Zomba 3,12,2014,3,12dec2014
,38,Zomba 3,12,2014,3,12dec2014
,42,Zomba 3,12,2014,3,12dec2014
,30,Zomba 3,12,2014,3,12dec2014
,46,Zomba 3,12,2014,3,12dec2014
,56,Zomba 3,12,2014,3,12dec2014
,40,Zomba 3,12,2014,3,12dec2014
,50,Zomba 3,12,2014,3,12dec2014
,30,Zomba 3,12,2014,3,12dec2014
,22,Zomba 3,12,2014,3,12dec2014
,68,Zomba 3,12,2014,3,12dec2014
,52,Zomba 3,12,2014,3,12dec2014
,43,Zomba 3,12,2014,3,12dec2014
,32,Zomba 3,12,2014,3,12dec2014
,25,Zomba 3,12,2014,3,12dec2014
,22,Zomba 3,12,2014,3,12dec2014
,42,Zomba 3,12,2014,3,12dec2014
,40,Zomba 3,12,2014,3,12dec2014
,60,Zomba 3,12,2014,3,12dec2014
,38,Zomba 3,12,2014,3,12dec2014
,52,Zomba 3,12,2014,3,12dec2014
,11,Zomba 3,12,2014,3,13dec2014
,38,Zomba 3,12,2014,3,13dec2014
,41,Zomba 3,12,2014,3,13dec2014
,28,Zomba 3,12,2014,3,13dec2014
,27,Zomba 3,12,2014,3,13dec2014
,45,Zomba 3,12,2014,3,13dec2014
,30,Zomba 3,12,2014,3,13dec2014
,40,Zomba 3,12,2014,3,13dec2014
,13,Zomba 3,12,2014,3,13dec2014
,20,Zomba 3,12,2014,3,13dec2014
,20,Zomba 3,12,2014,3,13dec2014
,20,Zomba 3,12,2014,3,13dec2014
,31,Zomba 3,12,2014,3,13dec2014
,28,Zomba 3,12,2014,3,13dec2014
,80,Zomba 3,12,2014,3,14dec2014
,150,Zomba 3,12,2014,3,14dec2014
,50,Zomba 3,12,2014,3,14dec2014
,70,Zomba 3,12,2014,3,14dec2014
,35,Zomba 3,12,2014,3,15dec2014
,20,Zomba 4,12,2014,3,15dec2014
,40,Zomba 3,12,2014,3,15dec2014
,32,Zomba 4,12,2014,3,15dec2014
,25,Zomba 4,12,2014,3,15dec2014
,18,Zomba 3,12,2014,3,16dec2014
