id,t011_program,t313_wpt_fail,t301b_wpt_flow_rate_slow,t302_landowner_personality,t302a_rep_WSB_talkedto,t302b_rep_WSB_accepted_disp,t310_wpt_drinking_water,t303b_turbitube_100ntu,t303_turbidity_wet,t304_turbidity_dry,t305b_flow_how_many_months,avg_users,t311_wpt_pass,t008_country,month,year
,Zomba 4,,,,1,1,1,,3,3,,41,1,3,10,2014
,Zomba 6,,,1,,,1,,3,3,,11,1,3,9,2015
,Zomba 3,,,,1,1,1,,3,3,,13,1,3,1,2016
,Zomba 3,,,,,,1,,3,3,,46,1,3,9,2014
,Zomba 4,,,,1,1,1,,3,3,,81.66666667,1,3,10,2014
,Zomba 3,,,,1,1,1,,3,3,,50,1,3,9,2014
,Zomba 3,,1,,1,1,1,,3,3,,20,1,3,9,2014
,Zomba 5,,,,1,1,1,,3,3,,56,1,3,8,2015
,Zomba 4,,,,1,1,1,,3,3,,11,1,3,10,2014
,Zomba 3,0,,,1,1,1,,1,1,,,,3,8,2014
,Zomba 4,,,1,,,1,,3,3,12,29,1,3,9,2014
,Zomba 6,,,,0,,1,,3,3,,20,1,3,1,2014
,Zomba 7,,,,0,,1,,3,3,,24,1,3,8,2015
,Zomba 7,1,0,,,,,,,,,,,3,8,2015
,Zomba 1,,,,0,,1,,3,3,,38.75,1,3,2,2016
,Zomba 4,,,,0,,1,,3,3,,46.66666667,1,3,9,2014
,Zomba 7,,,,0,,1,,3,3,,30.66666667,1,3,7,2015
,Zomba 5,,,,1,1,1,,3,3,,42.5,1,3,4,2015
,Zomba 7,,,,0,,1,,3,3,12,15,1,3,7,2015
,Zomba 6,,,,0,,1,,3,3,,75,1,3,4,2015
,Zomba 3,,,,1,1,1,,3,3,,46,1,3,9,2014
,Zomba 4,,,,1,1,1,,3,3,,193.3333333,0,3,4,2015
,Zomba 3,,,,0,,1,,3,3,,145,1,3,9,2014
,Zomba 7,,,,1,1,1,,3,3,,66,1,3,7,2015
,Zomba 8,,,,1,1,1,,3,3,,113.75,1,3,8,2015
,Zomba 6,,1,,1,1,1,,3,3,,48,1,3,4,2015
,Zomba 7,,,1,,,1,,3,3,,17.5,1,3,7,2015
,Zomba 5,,,,1,1,1,,3,3,,86.66666667,1,3,3,2015
,Zomba 4,,,,1,1,1,,3,3,,48.66666667,1,3,10,2014
,Zomba 3,,,,1,1,1,,3,3,,100,1,3,9,2014
,Zomba 6,,,,0,,1,,3,3,,17,1,3,4,2015
,Zomba 3,,,1,,,1,,3,3,,11.66666667,1,3,9,2014
,Zomba 6,,,1,,,1,,3,3,,24,1,3,1,2016
,Zomba 5,,,1,,,1,,3,3,,53.33333333,1,3,1,2016
,Zomba 5,,,1,,,1,,3,3,,11.25,1,3,4,2015
,Zomba 6,,,1,,,1,,3,3,,17.91666667,1,3,4,2015
,Zomba 5,,,,1,1,1,,3,3,,20,1,3,9,2015
,Zomba 2,,,,,,1,,3,3,,,1,3,11,2013
,Zomba 7,,,,0,,1,,3,3,,50,1,3,7,2015
,Zomba 7,,,,0,,1,,3,3,,63.33333333,1,3,7,2015
,Zomba 2,,,1,,,1,,3,3,,,1,3,1,2014
,Zomba 5,,,1,,,1,,3,3,,30,1,3,8,2015
,Zomba 4,,,,1,1,1,,3,3,,15,1,3,9,2014
,Zomba 4,,,,1,1,1,,3,3,,26,1,3,10,2014
,Zomba 5,,,,1,1,1,,3,3,,35,0,3,1,2016
,Zomba 5,,,,1,1,1,,3,3,,50,1,3,3,2015
,Zomba 7,,,,1,1,1,,3,3,,35,1,3,7,2015
,Zomba 5,,,,0,,1,,3,3,,120,1,3,2,2015
,Zomba 1,,,,1,1,1,,3,3,,53.5,1,3,2,2016
,Zomba 6,,,,1,1,1,,3,3,,50,1,3,4,2015
,Zomba 7,,,,1,1,1,,3,3,,16,1,3,7,2015
,Zomba 3,,,,0,,1,,3,3,,50,1,3,9,2014
,Zomba 7,,,,1,1,1,,3,3,,120,1,3,8,2015
,Zomba 5,,,,1,1,1,,3,3,,50,1,3,2,2015
,Zomba 3,0,,,1,1,1,,3,3,,6,,3,9,2014
,Zomba 9,,,1,,,1,,3,3,,13,1,3,12,2015
,Zomba 6,,1,,1,1,1,,3,3,,13.33333333,1,3,4,2015
,Zomba 5,,1,,0,,1,,3,3,,60,1,3,2,2015
,Zomba 2,,,1,,,1,,3,3,,,1,3,1,2014
,Zomba 9,,,1,,,1,,3,3,,25,1,3,1,2016
,Zomba 3,1,0,,,,,,,,,,,3,8,2014
,Zomba 8,,,,1,1,1,,3,3,,12.33333333,1,3,8,2015
,Zomba 4,,1,,1,1,1,,3,3,,97,1,3,9,2015
,Zomba 7,,,,1,1,1,,3,3,,52,1,3,8,2015
,Zomba 7,,,,1,1,1,,3,3,,80,1,3,7,2015
,Zomba 3,,,1,,,1,,3,3,,25,1,3,9,2014
,Zomba 6,,,,0,,1,,3,3,,54.5,1,3,1,2014
,Zomba 5,,,,1,1,1,,3,3,,118,1,3,3,2015
,Zomba 9,,,,1,1,1,,3,3,,23.33333333,1,3,12,2015
