ID,t101a_wpt_verifn_id,t011_prgrm,t313_wpt_fail,t301b_wpt_flow_rate_slow,t302_landowner_personality,t302a_rep_WSB_talkedto,t302b_rep_WSB_accepted_disp,t310_wpt_drinking_water,t303b_turbitube_100ntu,t303_turbidity_wet,t304_turbidity_dry,t305b_flow_how_many_months,avg_users,t311_wpt_pass,t009_country,month,year,t005_today
,,UJA,,,1,,,,,3,3,,,,1,8,2012,28-Aug-12
,6642415713,NMR,1,,,,,0,,,,,,,1,11,2015,04-Nov-15
,,UJA,,,0,,,,,,,,,,1,8,2012,27-Aug-12
,,UJA,,,-999,,,,,3,3,,,,1,9,2012,01-Sep-12
,,UJA,,,1,,,,,3,3,,,,1,8,2012,29-Aug-12
,6640415502,NMR,,,1,,,1,,2,2,,10,1,1,11,2015,02-Nov-15
,6642415712,NMR,1,,1,,,0,,,,,,,1,11,2015,05-Nov-15
,6642415904,NMR,1,,1,,,0,,,,,,,1,11,2015,04-Nov-15
,6042415521,BSA2,,,1,,,1,,3,3,,12,1,1,9,2014,29-Sep-14
,6642416102,NMR,1,,1,,,0,,,,,,,1,11,2015,05-Nov-15
,,UJA,,,,,,,,1,3,,,,1,8,2012,29-Aug-12
,,UJA,,,1,,,,,1,1,10,,,1,8,2012,30-Aug-12
