ID,t101a_wpt_verifn_id,t011_prgrm,t313_wpt_fail,t301b_wpt_flow_rate_slow,t302_landowner_personality,t302a_rep_WSB_talkedto,t302b_rep_WSB_accepted_disp,t310_wpt_drinking_water,t303b_turbitube_100ntu,t303_turbidity_wet,t304_turbidity_dry,t305b_flow_how_many_months,avg_users,t311_wpt_pass,t009_country,month,year,t005_today
,,UJA,,,1,,,,,2,2,,,,1,8,2012,29-Aug-12
,6642415914,NMR,1,,1,,,0,,,,,,,1,11,2015,04-Nov-15
,,UJA,,,,,,,,3,3,,,,1,8,2012,30-Aug-12
,5842425506,VHG,1,0,,,,,,,,,,,1,3,2015,03-Mar-15
,,UJA,,,1,,,,,3,3,,,,1,8,2012,29-Aug-12
,,UJA,,,1,,,,,2,2,,,,1,8,2012,25-Aug-12
,,UJA,,,1,,,,,2,3,,,,1,8,2012,29-Aug-12
,,UJA,,,1,,,,,2,2,,,,1,9,2012,01-Sep-12
,,UJA,,,,,,,,3,3,,,,1,9,2012,01-Sep-12
,6642415710,NMR,1,,1,,,0,,,,,,,1,11,2015,04-Nov-15
,,UJA,,,,,,,,3,3,,,,1,8,2012,28-Aug-12
,,UJA,,,1,,,,,1,3,,,,1,8,2012,30-Aug-12
,,UJA,,,1,,,,,2,3,,,,1,8,2012,27-Aug-12
,6145445405,SYA,1,,1,,,1,,1,2,,,1,1,7,2013,18-Jul-13
,,UJA,,,1,,,,,3,3,,,,1,8,2012,29-Aug-12
,,UJA,,,1,,,,,1,1,,,,1,8,2012,28-Aug-12
,,UJA,,,1,,,,,2,3,,,,1,8,2012,29-Aug-12
,,UJA,,,1,,,,,1,1,,,,1,1,2013,31-Jan-13
,,UJA,,,1,,,,,3,3,,,,1,8,2012,28-Aug-12
,5959516501,WASHB 75,,,1,,,1,,3,3,,18.5,1,1,5,2016,05-May-16
,,UJA,1,,,,,0,,,,,,,1,5,2013,03-May-13
,6431417501,KRA,,,1,,,1,,3,3,,20,1,1,9,2014,01-Sep-14
,,UJA,,,1,,,,,2,3,,,,1,9,2012,01-Sep-12
,6431415705,KRA,1,,1,,,1,,3,3,11,1.583333333,,1,9,2014,01-Sep-14
,,UJA,,,,,,,,3,3,,,,1,8,2012,25-Aug-12
,6640416004,NMR,1,,1,,,1,,2,1,,,,1,11,2015,03-Nov-15
,,UJA,,,,,,,,1,2,4,,,1,10,2012,29-Oct-12
,,UJA,,,1,,,,,1,2,,,,1,9,2012,01-Sep-12
,,UJA,,,,,,,,3,3,,,,1,8,2012,27-Aug-12
,4656425102,TNZ,,,1,,,1,,2,3,,14.25,1,1,10,2015,03-Oct-15
,,UJA,,,1,,,,,1,2,,,,1,2,2013,02-Feb-13
,,UJA,,,0,,,,,,,,,,1,2,2013,02-Feb-13
,,UJA,,,1,,,,,1,2,,,,1,8,2012,30-Aug-12
,,UJA,,,,,,,,3,3,,,,1,8,2012,25-Aug-12
,6441427102,MGR,1,,,,,0,,,,,,,1,9,2014,03-Sep-14
,,UJA,,,1,,,,,1,2,,,,1,8,2012,27-Aug-12
,,UJA,,,-999,,,,,2,3,,,,1,8,2012,25-Aug-12
,6040435201,AMG,1,0,,,,,,,,,,,1,2,2015,23-Feb-15
,,UJA,,,1,,,,,1,2,,,,1,8,2012,28-Aug-12
,,UJA,,,1,,,,,2,3,,,,1,8,2012,30-Aug-12
,,UJA,,,1,,,,,3,3,,,,1,8,2012,29-Aug-12
,,UJA,,,1,,,,,3,3,,,,1,10,2012,04-Oct-12
,5748415302,KKM2,1,,1,,,0,,,,,,,1,9,2014,03-Sep-14
,,UJA,,,1,,,,,2,3,,,,1,8,2012,25-Aug-12
,,UJA,,,1,,,,,2,2,6,,,1,8,2012,28-Aug-12
,5958516104,WASHB 75,1,1,,,,0,,,,,,,1,5,2016,05-May-16
,6040435421,BSA2,,,1,,,1,,2,2,,18.25,1,1,9,2014,29-Sep-14
,6430426202,KRA,,,1,,,1,,3,3,,20,1,1,9,2014,11-Sep-14
,5953425206,WASHB 75,1,,1,,,0,,,,,,,1,2,2016,09-Feb-16
,,UJA,,,,,,,,3,3,,,,1,9,2012,01-Sep-12
,,UJA,1,,,,,0,,,,,,,1,5,2013,21-May-13
,,UJA,,,,,,,,,,,,,1,8,2012,27-Aug-12
,,UJA,,,,,,,,3,3,,,,1,8,2012,25-Aug-12
,5842425603,VHG,1,,,,,1,,2,3,,7,,1,3,2015,03-Mar-15
,6140425303,SYA,,,,,,1,,2,3,,,1,1,7,2013,16-Jul-13
,,UJA,,,,,,,,,,,,,1,8,2012,29-Aug-12
,,UJA,,,1,,,,,3,3,,,,1,8,2012,28-Aug-12
,,UJA,1,,1,,,0,,,,,,,1,5,2013,07-May-13
,6642416002,NMR,1,,,1,1,0,,,,,,,1,11,2015,04-Nov-15
,,UJA,,,1,,,,,2,3,,,,1,8,2012,28-Aug-12
,,UJA,,,1,,,,,2,3,,,,1,9,2012,06-Sep-12
,,UJA,,,1,,,,,1,1,,,,1,8,2012,28-Aug-12
,,UJA,,,1,,,,,2,3,7,,,1,8,2012,30-Aug-12
,5843425106,VHG,1,,,,,0,,,,,,,1,2,2015,27-Feb-15
,,UJA,,,1,,,,,1,1,,,,1,8,2012,29-Aug-12
,,UJA,,,1,,,,,2,3,,,,1,8,2012,30-Aug-12
,,UJA,,,1,,,,,2,3,,,,1,9,2012,01-Sep-12
,,UJA,,,,,,,,3,3,,,,1,8,2012,28-Aug-12
,6644415403,NMR,,,1,,,1,,2,3,,23.25,1,1,11,2015,04-Nov-15
,6642415714,NMR,1,,,,,0,,,,,,,1,11,2015,05-Nov-15
,,UJA,,,1,,,,,3,3,,,,1,8,2012,25-Aug-12
,,UJA,,,1,,,,,2,3,10,,,1,8,2012,27-Aug-12
,,UJA,,,,,,,,,,,,,1,8,2012,25-Aug-12
,,UJA,,,1,,,,,3,3,,,,1,8,2012,25-Aug-12
,,UJA,,,1,,,,,2,2,,,,1,8,2012,28-Aug-12
,5844415505,VHG,,,1,,,1,,3,3,,10.83333333,1,1,3,2015,02-Mar-15
,6641416301,NMR,,,1,,,1,,3,3,,59.5,1,1,10,2015,30-Oct-15
,,UJA,,,1,,,,,2,2,,,,1,8,2012,25-Aug-12
,,UJA,,,1,,,,,3,3,,,,1,8,2012,29-Aug-12
,6434415602,KRA,1,,,,,0,,,,,,,1,8,2014,29-Aug-14
,,UJA,,,1,,,,,2,3,,,,1,9,2012,01-Sep-12
,,UJA,,,1,,,,,2,2,,,,1,8,2012,29-Aug-12
,,UJA,,,1,,,,,2,3,,,,1,8,2012,28-Aug-12
,5735435101,LGR,1,,1,,,0,,,,,,,1,1,2014,20-Jan-14
,6642416001,NMR,1,,1,,,0,,,,,,,1,11,2015,04-Nov-15
,,UJA,,,1,,,,,2,3,,,,1,8,2012,30-Aug-12
,,UJA,,,1,,,,,1,2,12,,,1,8,2012,25-Aug-12
,6340435603,RNG,1,,,0,,0,,,,,,,1,9,2014,10-Sep-14
,5959516103,WASHB 75,,,,,,1,,3,3,,12.5,1,1,4,2016,28-Apr-16
,6439425203,MGR,,,1,,,1,,2,3,,25.41666667,1,1,9,2014,04-Sep-14
,,UJA,,,,,,,,3,3,,,,1,8,2012,25-Aug-12
,,UJA,,,1,,,,,2,3,,,,1,9,2012,01-Sep-12
,5842425507,VHG,1,0,,,,,,,,,,,1,3,2015,03-Mar-15
,,UJA,,,,,,,,3,3,,,,1,8,2012,27-Aug-12
,,UJA,1,,,,,,,,,,,,1,5,2013,21-May-13
,6642416202,NMR,1,0,,,,,,,,,,,1,11,2015,06-Nov-15
,6142436501,SYA,,,,1,1,1,,3,3,,,1,1,7,2013,24-Jul-13
,,UJA,,,0,,,,,,,,,,1,8,2012,29-Aug-12
,6431416903,KRA,1,,1,,,1,,3,3,,8,,1,9,2014,02-Sep-14
,,UJA,,,,,,,,3,3,,,,1,8,2012,28-Aug-12
,,UJA,,,1,,,,,2,3,,,,1,8,2012,28-Aug-12
,5840415505,VHG,,,,1,1,1,,3,3,,18,1,1,3,2015,05-Mar-15
,6442445702,RNG,1,1,,,,0,,,,,,,1,4,2014,07-Apr-14
,,UJA,,,1,,,,,3,3,,,,1,8,2012,29-Aug-12
,6642415911,NMR,,,1,,,1,,3,3,,10.33333333,1,1,11,2015,04-Nov-15
,,UJA,,,1,,,,,3,3,,,,1,8,2012,28-Aug-12
,4730415301,UGS,,,,0,,1,,2,3,,25,1,1,7,2014,20-Jul-14
,,UJA,,,,,,,,1,2,,,,1,8,2012,27-Aug-12
,,UJA,,,1,,,,,2,3,,,,1,8,2012,25-Aug-12
,6641416011,NMR,1,,1,,,0,,,,,,,1,10,2015,28-Oct-15
,,UJA,,,-999,,,,,1,3,,,,1,8,2012,30-Aug-12
,,UJA,,,1,,,,,3,3,,,,1,8,2012,29-Aug-12
,,UJA,,,1,,,,,3,3,,,,1,8,2012,29-Aug-12
,6642415908,NMR,1,,1,,,0,,,,,,,1,11,2015,04-Nov-15
,,UJA,,,,,,,,,,,,,1,8,2012,28-Aug-12
,4646417006,TNZ,,,1,,,1,,3,3,,12.5,1,1,4,2015,28-Apr-15
,,UJA,,,0,,,,,,,,,,1,8,2012,25-Aug-12
,6642415902,NMR,1,,1,,,0,,,,,,,1,11,2015,04-Nov-15
,4652415602,TNZ,,,,,,1,,2,3,,10.33333333,1,1,4,2015,30-Apr-15
,,UJA,,,1,,,,,1,2,,,,1,8,2012,25-Aug-12
,,UJA,,,,,,,,3,3,,,,1,9,2012,01-Sep-12
,,UJA,,,1,,,,,2,3,,,,1,8,2012,28-Aug-12
,,UJA,,,-999,,,,,3,3,10,,,1,8,2012,25-Aug-12
,,UJA,,,1,,,,,3,3,,,,1,8,2012,29-Aug-12
,,UJA,,,,,,,,3,3,,,,1,8,2012,27-Aug-12
,,UJA,,,1,,,,,3,3,,,,1,8,2012,25-Aug-12
,6130435109,SYA,1,,1,,,1,,2,3,,,,1,7,2013,04-Jul-13
,,UJA,,,1,,,,,3,3,,,,1,8,2012,29-Aug-12
,6642416201,NMR,,,,,,1,,2,3,11,60,1,1,11,2015,06-Nov-15
,6641416603,NMR,1,,1,,,0,,,,,,,1,10,2015,28-Oct-15
,,UJA,,,1,,,,,3,3,,,,1,8,2012,27-Aug-12
,6441425205,MGR,,,1,,,1,,3,3,9,15.5,1,1,9,2014,03-Sep-14
,,UJA,,,,,,,,3,3,,,,1,8,2012,28-Aug-12
,,UJA,,,1,,,,,3,3,,,,1,8,2012,27-Aug-12
,6642415708,NMR,1,,,,,0,,,,,,,1,11,2015,04-Nov-15
,5843416004,VHG,,,,,,1,,3,3,,12,1,1,2,2015,23-Feb-15
,,UJA,,,,,,,,3,3,,,,1,9,2012,01-Sep-12
,6642415907,NMR,,,1,,,1,,3,3,,40,1,1,11,2015,04-Nov-15
,,UJA,,,1,,,,,2,3,,,,1,8,2012,25-Aug-12
,,UJA,,,-999,,,,,3,3,,,,1,8,2012,29-Aug-12
,6642415702,NMR,1,,1,,,0,,,,,,,1,11,2015,05-Nov-15
,,UJA,,,0,,,,,,,,,,1,8,2012,28-Aug-12
,,UJA,,,1,,,,,3,3,,,,1,8,2012,28-Aug-12
,6142455703,SYA,,,1,,,1,,3,3,,,1,1,7,2013,23-Jul-13
,,UJA,,,,,,,,3,3,,,,1,8,2012,27-Aug-12
,6642415906,NMR,1,,1,,,1,,3,3,,3.333333333,,1,11,2015,04-Nov-15
,,UJA,,,-999,,,,,1,1,,,,1,8,2012,25-Aug-12
,6133436007,SYA,,,1,,,1,,3,3,,,1,1,7,2013,01-Jul-13
,,UJA,,,1,,,,,2,3,,,,1,8,2012,28-Aug-12
,6032425501,BSA2,1,,1,,,0,,,,,,,1,8,2014,19-Aug-14
,,UJA,,,1,,,,,1,1,,,,1,8,2012,28-Aug-12
,,UJA,,,,,,,,3,3,,,,1,8,2012,28-Aug-12
,,UJA,,,,,,,,2,3,,,,1,8,2012,30-Aug-12
