s102_wpt_id,s206_cl_dispensed,s208_dispprob,s209_dispprob_cas_padlk,s210_dispprob_tnk_vlv,s211_dispprob_stker_tag_paint,s212_nut,month_survey,year_survey,s009_country,s011_prgrm
"10210248","","1","","","11","",3,2013,"1","UJA"
"10210595","","0","","","","",3,2013,"1","UJA"
"10210591","","0","","","","",3,2013,"1","UJA"
"10210251","","0","","","","",3,2013,"1","UJA"
"10210260","","1","","","5 11","",3,2013,"1","UJA"
"10210673","","1","","","11","",3,2013,"1","UJA"
"10210628","","0","","","","",3,2013,"1","UJA"
"10210273","","0","","","","",3,2013,"1","UJA"
"10210254","","1","","","11","",3,2013,"1","UJA"
"10211155","","0","","","","",3,2013,"1","UJA"
"10210285","","0","","","","",3,2013,"1","UJA"
"10211159","","0","","","","",3,2013,"1","UJA"
"10210261","","1","","","11 -996","",3,2013,"1","UJA"
"10210278","","0","","","","",3,2013,"1","UJA"
"10210256","","1","","","11","",3,2013,"1","UJA"
"10211158","","1","","","11","",3,2013,"1","UJA"
"10210327","","0","","","","",3,2013,"1","UJA"
"10210309","","0","","","","",3,2013,"1","UJA"
"10210353","","0","","","","",3,2013,"1","UJA"
"10211160","","0","","","","",3,2013,"1","UJA"
"10210267","","0","","","","",3,2013,"1","UJA"
"10210289","","1","","","11","",3,2013,"1","UJA"
"10210582","","1","","","11","",3,2013,"1","UJA"
"10210255","","1","","","11","",3,2013,"1","UJA"
"10210317","","0","","","","",3,2013,"1","UJA"
"10210035","","0","","","","",3,2013,"1","UJA"
"10210277","","1","","","11","",3,2013,"1","UJA"
"10211355","","0","","","","",3,2013,"1","UJA"
"10210293","","0","","","","",3,2013,"1","UJA"
"10211637","","0","","","","",3,2013,"1","UJA"
"10210281","","0","","","","",3,2013,"1","UJA"
"10210308","","0","","","","",3,2013,"1","UJA"
"10210294","","1","","","11","",3,2013,"1","UJA"
"10210259","","1","","","11","",3,2013,"1","UJA"
"10210625","","0","","","","",3,2013,"1","UJA"
"10210362","","0","","","","",3,2013,"1","UJA"
"10210335","","0","","","","",3,2013,"1","UJA"
