ID,vcs011_prgrm,month,year,country
,MBL,10,2014,2
,MBL,10,2014,2
,MBL,10,2014,2
,MBL,10,2014,2
,TRR,9,2015,2
,TRR,10,2015,2
,TRR,9,2015,2
,MBL,10,2014,2
,MBL,10,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
,BTJ,11,2014,2
