id,t011_program,t313_wpt_fail,t301b_wpt_flow_rate_slow,t302_landowner_personality,t302a_rep_WSB_talkedto,t302b_rep_WSB_accepted_disp,t310_wpt_drinking_water,t303b_turbitube_100ntu,t303_turbidity_wet,t304_turbidity_dry,t305b_flow_how_many_months,avg_users,t311_wpt_pass,t008_country,t005_today
,Zomba 3,,,,,,1,,3,3,,31.66667,1,3,07-Aug-14
,Zomba 3,,,,,,1,,3,3,,49.33333,1,3,07-Aug-14
,Zomba 3,0,,,,,1,,1,1,,,,3,07-Aug-14
,Zomba 3,,,,,,1,,3,3,,53.33333,1,3,08-Aug-14
,Zomba 3,,,,,,1,,3,3,,170,1,3,06-Aug-14
,Zomba 3,,,,,,1,,3,3,,53.33333,1,3,06-Aug-14
,Zomba 3,,,,,,1,,3,3,,286.6667,1,3,06-Aug-14
,Zomba 3,,,1,,,1,,3,3,,43.33333,1,3,06-Aug-14
,Zomba 3,,,,,,1,,3,3,,163.3333,1,3,06-Aug-14
,Zomba 3,,,,,,1,,3,3,,57.91667,1,3,07-Aug-14
,Zomba 3,,,,,,1,,3,3,,32.91667,1,3,07-Aug-14
,Zomba 3,,,,,,1,,3,3,,22.91667,1,3,07-Aug-14
,Zomba 3,,,,,,1,,3,3,,53.33333,1,3,01-Aug-14
,Zomba 3,,,,,,1,,3,3,,70,1,3,04-Aug-14
,Zomba 3,,1,,,,1,,3,3,,48.33333,1,3,06-Aug-14
,Zomba 3,,,,,,1,,3,3,11,46.66667,1,3,07-Aug-14
,Zomba 3,,,,,,1,,3,3,,61,1,3,07-Aug-14
,Zomba 3,,1,,,,1,,3,3,,87.33334,1,3,06-Aug-14
,Zomba 3,,1,,,,1,,3,3,,83.66666,1,3,01-Aug-14
,Zomba 3,,,,,,1,,3,3,,47,1,3,06-Aug-14
,Zomba 3,,,,,,1,,3,3,,140,1,3,06-Aug-14
,Zomba 3,,,,,,1,,3,3,,40,1,3,06-Aug-14
,Zomba 3,,,,,,1,,3,3,,50.33333,1,3,06-Aug-14
,Zomba 3,,,,,,1,,3,3,,146.6667,1,3,07-Aug-14
,Zomba 3,,,,,,1,,3,3,,38.33333,1,3,07-Aug-14
,Zomba 3,Don't know,0,,,,,,,,,,,3,08-Sep-14
,Zomba 3,,,,,,1,,3,3,,260,1,3,11-Sep-14
,Zomba 3,,,,,,1,,3,3,,233.3333,1,3,11-Sep-14
,Zomba 3,,,,,,1,,3,3,,80,1,3,11-Sep-14
,Zomba 3,,,,,,1,,3,3,,53.33333,1,3,11-Sep-14
,Zomba 3,,,,,,1,,3,3,,350,1,3,11-Sep-14
,Zomba 3,,,,,,1,,3,3,,350,1,3,10-Sep-14
,Zomba 3,0,,1,,,1,,2,1,,,,3,12-Sep-14
,Zomba 3,,,,,,1,,3,3,,50,1,3,12-Sep-14
,Zomba 3,,,,,,1,,3,3,,110,1,3,11-Sep-14
,Zomba 3,,,1,,,1,,3,3,,25,1,3,10-Sep-14
,Zomba 3,0,,1,,,1,,1,1,,,,3,11-Sep-14
,Zomba 3,1,,1,,,1,,1,1,,,,3,11-Sep-14
,Zomba 3,,,,,,1,,3,3,,60,1,3,12-Sep-14
,Zomba 3,0,0,,,,,,,,,,,3,12-Sep-14
,Zomba 3,,,,,,1,,3,3,,53.33333,1,3,11-Sep-14
,Zomba 3,,,,,,1,,3,3,,100,1,3,12-Sep-14
,Zomba 3,,,1,,,1,,3,3,,11.66667,1,3,12-Sep-14
,Zomba 3,0,,1,,,1,,1,3,,,,3,11-Sep-14
,Zomba 3,0,0,,,,,,,,,,,3,12-Sep-14
,Zomba 3,Don't know,1,,,,1,0,,,,,,3,11-Sep-14
,Zomba 3,,,,,,1,,3,3,,116.6667,1,3,11-Sep-14
,Zomba 3,0,0,,,,,,,,,,,3,11-Sep-14
,Zomba 3,1,0,,,,,,,,,,,3,05-Aug-14
,Zomba 3,,,,,,1,,3,3,,47.33333,1,3,14-Sep-14
,Zomba 3,,,1,,,1,,2,2,,34,1,3,14-Sep-14
,Zomba 3,,,,,,1,,3,3,,150.6667,1,3,15-Sep-14
,Zomba 3,,,1,,,1,,2,3,,30.33333,1,3,15-Sep-14
,Zomba 3,,,,,,1,,3,3,,44,1,3,09-Sep-14
,Zomba 3,,,,,,1,,3,3,,50.5,1,3,09-Sep-14
,Zomba 3,,,,,,1,,3,3,,40,1,3,11-Sep-14
,Zomba 3,,,1,,,1,,3,3,,50,1,3,14-Sep-14
,Zomba 3,,,1,,,1,,3,3,,75,1,3,14-Sep-14
,Zomba 3,,,1,,,1,,3,3,,55,1,3,11-Sep-14
,Zomba 3,Don't know,0,,,,,,,,,,,3,11-Sep-14
,Zomba 3,,,,,,1,,3,3,,87.5,1,3,11-Sep-14
,Zomba 3,,,,,,1,,3,3,,127.5,1,3,10-Sep-14
,Zomba 3,,,1,,,1,,3,3,,65,1,3,10-Sep-14
,Zomba 3,,,,,,1,,3,3,,39,1,3,10-Sep-14
,Zomba 3,,,1,,,1,,3,3,,14.25,1,3,11-Sep-14
,Zomba 3,,,1,,,1,,3,3,,43.5,1,3,11-Sep-14
,Zomba 3,,,,,,1,,3,3,,44,1,3,12-Sep-14
,Zomba 3,,,,,,1,,3,3,,85,1,3,15-Sep-14
,Zomba 3,,,,,,1,,3,3,,68,1,3,02-Jan-12
,Zomba 3,,,,,,1,,3,3,,141.0833,1,3,10-Sep-14
,Zomba 3,,,,,,1,,3,3,,75,1,3,10-Sep-14
,Zomba 3,,,,,,1,,3,3,,80.41666,1,3,11-Sep-14
,Zomba 3,,,,,,1,,3,3,,21.66667,1,3,11-Sep-14
,Zomba 3,,,1,,,1,,3,3,,24.33333,1,3,16-Sep-14
,Zomba 3,0,,,,,1,,1,3,,,,3,12-Sep-14
,Zomba 3,1,,,,,1,,1,1,,,,3,11-Sep-14
,Zomba 3,0,0,,,,,,,,,,,3,12-Sep-14
,Zomba 3,,,,,,1,,3,3,,125,1,3,14-Sep-14
,Zomba 3,,,,,,1,,3,3,,190,1,3,14-Sep-14
,Zomba 3,,,,,,1,,3,3,,90,1,3,14-Sep-14
,Zomba 3,,,,,,1,,3,3,,112.5,1,3,12-Sep-14
,Zomba 3,,,,,,1,,3,3,,65,1,3,13-Sep-14
,Zomba 3,,,,,,1,,3,3,,215,1,3,15-Sep-14
,Zomba 3,,,,,,1,,3,3,,145,1,3,16-Sep-14
,Zomba 3,,,,,,1,,3,3,,166.6667,1,3,12-Sep-14
,Zomba 3,,,,,,1,,3,3,,49,1,3,10-Sep-14
,Zomba 3,,,,,,1,,3,3,,11,1,3,12-Sep-14
,Zomba 3,,,,,,1,,3,3,,115,1,3,12-Sep-14
,Zomba 3,,,,,,1,,3,3,,50,1,3,12-Sep-14
,Zomba 3,,,,,,1,,3,3,,17,1,3,12-Sep-14
,Zomba 3,,,,,,1,,3,3,,41,1,3,12-Sep-14
,Zomba 3,,,,,,1,,3,3,,52.66667,1,3,12-Sep-14
,Zomba 3,,,1,,,1,,3,3,,35.41667,1,3,12-Sep-14
,Zomba 3,,,,,,1,,3,3,,20,1,3,12-Sep-14
,Zomba 3,,,1,,,1,,3,3,,71.66666,1,3,12-Sep-14
,Zomba 3,,,,,,1,,3,3,,43,1,3,11-Sep-14
,Zomba 3,,,,,,1,,3,3,,316.6667,1,3,10-Sep-14
,Zomba 3,,1,,,,1,,3,3,,35,1,3,10-Sep-14
,Zomba 3,,,,,,1,,3,3,,235,1,3,09-Sep-14
,Zomba 3,,,,,,1,,3,3,,354.1667,1,3,11-Sep-14
,Zomba 3,1,1,,,,0,,,,,,,3,12-Sep-14
,Zomba 3,,,,,,1,,3,3,,210,1,3,10-Sep-14
,Zomba 3,,,1,,,1,,3,3,,76.66666,1,3,09-Sep-14
,Zomba 3,,,,,,1,,3,3,,140,1,3,09-Sep-14
,Zomba 3,,,,,,1,,3,3,,100.6667,1,3,10-Sep-14
,Zomba 3,,,1,,,1,,3,3,,27.66667,1,3,10-Sep-14
,Zomba 3,,,,,,1,,3,3,,143.3333,1,3,10-Sep-14
,Zomba 3,,,,,,1,,3,3,,50,1,3,13-Sep-14
,Zomba 3,,,,,,1,,3,3,,167,1,3,12-Sep-14
,Zomba 3,,,,,,1,,3,3,,160,1,3,11-Sep-14
,Zomba 3,,,,,,1,,3,3,,68,1,3,15-Sep-14
,Zomba 3,,,,,,1,,3,3,,43.66667,1,3,15-Sep-14
,Zomba 3,,,,,,1,,3,3,,56.66667,1,3,11-Sep-14
,Zomba 3,,,,,,1,,3,3,,78.66666,1,3,11-Sep-14
,Zomba 3,,,,,,1,,3,3,,49,1,3,11-Sep-14
,Zomba 3,,,,,,1,,3,3,,110,1,3,13-Sep-14
