id,t011_program,t313_wpt_fail,t301b_wpt_flow_rate_slow,t302_landowner_personality,t302a_rep_WSB_talkedto,t302b_rep_WSB_accepted_disp,t310_wpt_drinking_water,t303b_turbitube_100ntu,t303_turbidity_wet,t304_turbidity_dry,t305b_flow_how_many_months,avg_users,t311_wpt_pass,t008_country,month,year
,Zomba 3,0,0,1,0,0,1,0,3,3,0,14.25,1,3,9,2014
,Zomba 3,0,0,1,0,0,1,0,3,3,0,43.5,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,44,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,85,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,68,1,3,1,2012
,Zomba 3,0,0,0,0,0,1,0,3,3,0,141.0833,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,75,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,80.41666,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,21.66667,1,3,9,2014
,Zomba 3,0,0,1,0,0,1,0,3,3,0,24.33333,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,1,3,0,,0,3,9,2014
,Zomba 3,1,0,0,0,0,1,0,1,1,0,,0,3,9,2014
,Zomba 3,0,0,0,0,0,0,0,0,0,0,,0,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,125,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,190,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,90,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,112.5,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,65,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,215,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,145,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,166.6667,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,49,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,11,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,115,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,50,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,17,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,41,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,52.66667,1,3,9,2014
,Zomba 3,0,0,1,0,0,1,0,3,3,0,35.41667,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,20,1,3,9,2014
,Zomba 3,0,0,1,0,0,1,0,3,3,0,71.66666,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,43,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,316.6667,1,3,9,2014
,Zomba 3,0,1,0,0,0,1,0,3,3,0,35,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,235,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,354.1667,1,3,9,2014
,Zomba 3,1,1,0,0,0,0,0,0,0,0,,0,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,210,1,3,9,2014
,Zomba 3,0,0,1,0,0,1,0,3,3,0,76.66666,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,140,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,100.6667,1,3,9,2014
,Zomba 3,0,0,1,0,0,1,0,3,3,0,27.66667,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,143.3333,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,50,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,167,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,160,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,68,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,43.66667,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,56.66667,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,78.66666,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,49,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,110,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,62,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,140,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,73,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,80,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,105,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,56,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,42,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,35,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,46,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,67,1,3,9,2014
,Zomba 3,0,0,0,0,0,1,0,3,3,0,100,1,3,9,2014
