ID,cem301_attendees_total,cem011 prgrm,month,year
,22,Kibuku  3,4,2013
,60,Kibuku  3,5,2013
,66,Kibuku  3,3,2015
,52,Kibuku  3,3,2015
,155,Kibuku  3,4,2013
,26,Kibuku  3,4,2014
,19,Kibuku  3,4,2013
,68,Kibuku  3,4,2013
,27,Kibuku  3,5,2013
,25,Kibuku  3,4,2013
,74,Kibuku  3,5,2013
,28,Kibuku  3,4,2014
,35,Kibuku  3,5,2013
,61,Kibuku  3,5,2013
,32,Kibuku  3,4,2013
,70,Kibuku  3,5,2013
,38,Kibuku  3,5,2013
,43,Kibuku  3,5,2013
,20,Kibuku  3,5,2013
,40,Kibuku  3,5,2013
,29,Kibuku  3,4,2013
,43,Kibuku  3,5,2013
,80,Kibuku  3,5,2013
,42,Kibuku  3,4,2014
,49,Kibuku  3,5,2013
,60,Kibuku  3,5,2013
,44,Kibuku  3,5,2013
,35,Kibuku  3,5,2013
,21,Kibuku  3,4,2014
,37,Kibuku  3,4,2013
