id,cem011_prgrm,cem301_attendees_total,cem009_country,month,year,cem005_today
,Once Acre Fund,21,1,6,2013,04-Jun-13
,Once Acre Fund,23,1,6,2013,04-Jun-13
,Once Acre Fund,12,1,6,2013,04-Jun-13
,Once Acre Fund,25,1,6,2013,04-Jun-13
,Once Acre Fund,35,1,6,2013,04-Jun-13
,Once Acre Fund,22,1,6,2013,04-Jun-13
,Once Acre Fund,28,1,6,2013,04-Jun-13
,Once Acre Fund,21,1,6,2013,04-Jun-13
,Once Acre Fund,15,1,6,2013,04-Jun-13
,Once Acre Fund,16,1,6,2013,04-Jun-13
,Once Acre Fund,21,1,6,2013,04-Jun-13
,Once Acre Fund,23,1,6,2013,04-Jun-13
,Once Acre Fund,21,1,6,2013,05-Jun-13
,Once Acre Fund,32,1,6,2013,05-Jun-13
,Once Acre Fund,21,1,6,2013,05-Jun-13
,Once Acre Fund,28,1,6,2013,05-Jun-13
,Once Acre Fund,17,1,6,2013,05-Jun-13
,Once Acre Fund,22,1,6,2013,05-Jun-13
,Once Acre Fund,26,1,6,2013,05-Jun-13
,Once Acre Fund,19,1,6,2013,05-Jun-13
,Once Acre Fund,15,1,6,2013,05-Jun-13
,Once Acre Fund,18,1,6,2013,05-Jun-13
,Once Acre Fund,16,1,6,2013,05-Jun-13
,Once Acre Fund,11,1,6,2013,05-Jun-13
,Once Acre Fund,23,1,6,2013,05-Jun-13
,Once Acre Fund,30,1,6,2013,05-Jun-13
,Once Acre Fund,19,1,6,2013,05-Jun-13
,Once Acre Fund,23,1,6,2013,05-Jun-13
,Once Acre Fund,21,1,6,2013,05-Jun-13
,Once Acre Fund,24,1,6,2013,05-Jun-13
,Once Acre Fund,17,1,6,2013,05-Jun-13
,Once Acre Fund,22,1,6,2013,05-Jun-13
,Once Acre Fund,17,1,6,2013,05-Jun-13
,Once Acre Fund,23,1,6,2013,05-Jun-13
,Once Acre Fund,19,1,6,2013,05-Jun-13
,Once Acre Fund,26,1,6,2013,05-Jun-13
,Once Acre Fund,16,1,6,2013,05-Jun-13
,Once Acre Fund,27,1,6,2013,05-Jun-13
,Once Acre Fund,24,1,6,2013,05-Jun-13
,Once Acre Fund,16,1,6,2013,05-Jun-13
,Once Acre Fund,26,1,6,2013,05-Jun-13
,Once Acre Fund,27,1,6,2013,06-Jun-13
,Once Acre Fund,53,1,6,2013,06-Jun-13
,Once Acre Fund,22,1,6,2013,06-Jun-13
,Once Acre Fund,20,1,6,2013,06-Jun-13
,Once Acre Fund,18,1,6,2013,06-Jun-13
,Once Acre Fund,17,1,6,2013,06-Jun-13
,Once Acre Fund,16,1,6,2013,06-Jun-13
,Once Acre Fund,35,1,6,2013,06-Jun-13
,Once Acre Fund,23,1,6,2013,06-Jun-13
,Once Acre Fund,17,1,6,2013,06-Jun-13
,Once Acre Fund,20,1,6,2013,06-Jun-13
,Once Acre Fund,21,1,6,2013,06-Jun-13
,Once Acre Fund,20,1,6,2013,06-Jun-13
,Once Acre Fund,20,1,6,2013,06-Jun-13
,Once Acre Fund,17,1,6,2013,06-Jun-13
,Once Acre Fund,20,1,6,2013,06-Jun-13
,Once Acre Fund,21,1,6,2013,08-Jun-13
,Once Acre Fund,15,1,6,2013,08-Jun-13
,Once Acre Fund,44,1,6,2013,08-Jun-13
,Once Acre Fund,15,1,6,2013,08-Jun-13
,Once Acre Fund,20,1,6,2013,10-Jun-13
,Once Acre Fund,22,1,6,2013,10-Jun-13
,Once Acre Fund,21,1,6,2013,10-Jun-13
,Once Acre Fund,24,1,6,2013,10-Jun-13
,Once Acre Fund,31,1,6,2013,11-Jun-13
,Once Acre Fund,22,1,6,2013,15-Jun-13
,Once Acre Fund,24,1,6,2013,15-Jun-13
,Once Acre Fund,26,1,6,2013,15-Jun-13
,Once Acre Fund,22,1,6,2013,15-Jun-13
,Once Acre Fund,18,1,6,2013,17-Jun-13
,Once Acre Fund,20,1,6,2013,17-Jun-13
,Once Acre Fund,18,1,6,2013,17-Jun-13
,Once Acre Fund,20,1,6,2013,17-Jun-13
,Once Acre Fund,25,1,6,2013,17-Jun-13
,Once Acre Fund,24,1,6,2013,17-Jun-13
,Once Acre Fund,16,1,6,2013,17-Jun-13
,Once Acre Fund,16,1,6,2013,17-Jun-13
,Once Acre Fund,23,1,6,2013,17-Jun-13
,Once Acre Fund,29,1,6,2013,17-Jun-13
,Once Acre Fund,29,1,6,2013,17-Jun-13
,Once Acre Fund,20,1,6,2013,17-Jun-13
,Once Acre Fund,41,1,6,2013,17-Jun-13
,Once Acre Fund,32,1,6,2013,17-Jun-13
,Once Acre Fund,21,1,6,2013,17-Jun-13
,Once Acre Fund,23,1,6,2013,17-Jun-13
,Once Acre Fund,29,1,6,2013,17-Jun-13
,Once Acre Fund,23,1,6,2013,17-Jun-13
,Once Acre Fund,22,1,6,2013,17-Jun-13
,Once Acre Fund,29,1,6,2013,17-Jun-13
,Once Acre Fund,20,1,6,2013,17-Jun-13
,Once Acre Fund,19,1,6,2013,17-Jun-13
,Once Acre Fund,16,1,6,2013,17-Jun-13
,Once Acre Fund,18,1,6,2013,18-Jun-13
,Once Acre Fund,21,1,6,2013,18-Jun-13
,Once Acre Fund,21,1,6,2013,18-Jun-13
,Once Acre Fund,22,1,6,2013,18-Jun-13
,Once Acre Fund,26,1,6,2013,18-Jun-13
,Once Acre Fund,21,1,6,2013,18-Jun-13
,Once Acre Fund,28,1,6,2013,18-Jun-13
,Once Acre Fund,19,1,6,2013,18-Jun-13
,Once Acre Fund,16,1,6,2013,18-Jun-13
,Once Acre Fund,12,1,6,2013,18-Jun-13
,Once Acre Fund,15,1,6,2013,18-Jun-13
,Once Acre Fund,20,1,6,2013,18-Jun-13
,Once Acre Fund,25,1,6,2013,18-Jun-13
,Once Acre Fund,24,1,6,2013,18-Jun-13
,Once Acre Fund,24,1,6,2013,18-Jun-13
,Once Acre Fund,15,1,6,2013,18-Jun-13
,Once Acre Fund,30,1,6,2013,18-Jun-13
,Once Acre Fund,21,1,6,2013,18-Jun-13
,Once Acre Fund,22,1,6,2013,18-Jun-13
,Once Acre Fund,25,1,6,2013,18-Jun-13
,Once Acre Fund,18,1,6,2013,18-Jun-13
,Once Acre Fund,28,1,6,2013,18-Jun-13
,Once Acre Fund,15,1,6,2013,18-Jun-13
,Once Acre Fund,18,1,6,2013,18-Jun-13
,Once Acre Fund,21,1,6,2013,18-Jun-13
,Once Acre Fund,19,1,6,2013,18-Jun-13
,Once Acre Fund,32,1,6,2013,19-Jun-13
,Once Acre Fund,18,1,6,2013,19-Jun-13
,Once Acre Fund,31,1,6,2013,19-Jun-13
,Once Acre Fund,42,1,6,2013,19-Jun-13
,Once Acre Fund,16,1,6,2013,19-Jun-13
,Once Acre Fund,21,1,6,2013,19-Jun-13
,Once Acre Fund,19,1,6,2013,19-Jun-13
,Once Acre Fund,24,1,6,2013,19-Jun-13
,Once Acre Fund,21,1,6,2013,19-Jun-13
